RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31
102001,0,United States,country,,1300.3029204823104,1307.1538967325243,1316.0398983324978,1326.5152045993884,1336.2472346435154,1345.1639019178756,1351.3101313412515,1354.7699851830978,1356.103267311212,1356.1112361246646,1356.7971256340006,1358.4312670459221,1362.7590772788283,1368.5640493249964,1375.593898757189,1384.3876900306097,1393.447595436476,1401.6704317959452,1406.3975546235008,1408.1200087114055,1407.4346085882157,1405.616540442271,1404.4661599223207,1404.6867495818542,1410.8230610794644,1421.0913086976796,1434.6269616577047,1446.5858922088303,1457.0913855238705,1465.1155627915487,1470.2155466179706,1471.889142638129,1473.295924341382,1472.8667285688189,1474.0702237526184,1475.5364325512028,1481.1232690339914,1489.2036531305346,1500.6593718383915,1511.8292614597083,1521.553947929178,1529.2227127227252,1534.021665444838,1536.5843412999902,1536.7079304262675,1537.30566825699,1539.5799564663587,1543.1256199443965,1548.411885684011,1556.2751426440516,1567.9920001470666,1579.895248187932,1590.5494090930927,1598.151433067597,1603.132214216108,1605.6940619156574,1606.624203271485,1607.5250873488326,1608.7387981879863,1610.6607233411567,1616.5691884898392,1625.9254592287436,1636.4491059618701,1642.1346707812563,1648.3302277122566,1656.6095268714853,1670.2994812453207,1682.865190151061,1694.3098094631619,1703.3110663156112,1710.7912887087455,1718.6186711358673,1730.4157666307183,1745.1099384338938,1763.2408249490666,1783.295014953352,1807.502394466521,1832.7483275906152,1856.9769290661916,1880.3343556510529,1899.7946370615314,1915.5210807394226,1927.83000261053,1940.2580941075662,1955.0196261729798,1974.0214238030871,1994.8065924778787,2017.523112085317,2036.878560231298,2056.7740857351973,2073.0257694115976,2087.1118925810583,2093.9528881967203,2098.217489033398,2097.381566554696,2102.1563801203215,2107.240375510975,2117.8229555884154,2129.8201280943827,2145.188949879397,2159.3056022040573,2171.3055815506373,2183.0088233672977,2194.8131919113484,2202.1015803129017,2203.5093166163992,2201.681615059788,2202.0105608523822,2209.4512827689505,2220.6291307338847,2236.418918363554,2249.699615948676,2261.859179718687
394913,1,"New York, NY",msa,NY,2340.184217607227,2365.960412115711,2384.046703882101,2400.359072076052,2401.9925639436647,2419.6004506306995,2422.1181849255886,2422.3080396065507,2419.358602309376,2423.326213918499,2428.911218257334,2436.0963101139296,2445.0314182873417,2456.180781680883,2466.2411205175104,2479.7978387543953,2490.3060905909756,2493.412733921077,2497.614560588575,2490.8149746507206,2492.1289235298896,2487.532581539277,2503.825698328166,2512.991121337805,2533.561455362327,2547.4340257072536,2560.6351546782807,2569.8474576536573,2581.946857670079,2588.692027645105,2598.9135965430773,2594.9450345877513,2627.734168036115,2633.6934401635945,2629.9200080150367,2603.966826632713,2606.713738913387,2619.740554777638,2628.1436755709983,2639.3065108878313,2655.1017530891086,2669.704921979055,2676.7024431124173,2688.26734341752,2690.136798613003,2686.941529625563,2682.2832962713146,2681.4987826068573,2683.9686191078576,2702.0136152351515,2731.310106371297,2754.4779080709727,2766.1175168522445,2772.7236164273763,2773.620161927469,2768.4680359524414,2749.140303335224,2763.4057233648223,2767.543278524514,2794.7638920494705,2795.816974948047,2810.680883491969,2824.4929459731634,2845.7489746192964,2862.4104688273374,2873.64043043666,2884.318764615182,2895.1721084418296,2904.8200089824018,2888.967531209435,2911.468493689875,2916.0923268637844,2962.006543073135,2987.6884066852967,3040.8432411151152,3077.7585662617244,3092.5463099147964,3109.7892588526174,3124.7793092392217,3148.1575474560846,3142.387578350447,3156.417513073535,3145.8296339006515,3179.455814243446,3212.555652637504,3286.5369843592007,3331.791723869485,3371.095076391221,3384.69229117283,3408.5668845850073,3439.3273505450384,3463.1906989672552,3466.3563750884937,3454.6185320775417,3450.2993406968776,3460.004089280606,3461.9055807947416,3497.383752564448,3554.062054198168,3617.355268788447,3643.8699633779333,3645.9547130990322,3651.765144006849,3661.7896779910166,3653.7340977271415,3624.743124833158,3601.3339589160596,3620.778884085898,3664.077697819162,3700.8164072247178,3746.644523089431,3759.0005430000765,3783.7950750307973
753899,2,"Los Angeles, CA",msa,CA,2563.1111869167667,2576.2587660699173,2596.3315046750586,2608.319494269788,2633.502188718224,2654.825200491757,2675.4707827916636,2685.348347226927,2691.532864662205,2692.3314684820407,2688.63344361271,2698.806630953696,2714.7534792336887,2737.394802369551,2757.098733442209,2769.926300299262,2796.852536316546,2811.674313825315,2826.8372395055994,2825.101060195972,2827.3384152227563,2823.8859942534136,2817.902841869693,2815.342377041927,2834.130173567829,2859.439129290697,2893.904531153683,2920.220746426217,2945.513530688899,2954.77599597317,2964.490755222538,2965.2349578148264,2973.123099926671,2970.3542521582103,2980.0891783064985,2979.9973887344463,2994.4433031030417,3008.2627265368,3033.880010649552,3055.067628736011,3072.032206110537,3085.669924076028,3094.257424040623,3096.112870548681,3099.2181384823466,3102.523509954962,3120.6497004454586,3127.0338667363035,3143.1657300266197,3143.7091270025853,3171.7490688388884,3181.7852857709477,3209.8619478006567,3215.162163642354,3227.00696682393,3223.5044373774986,3224.0336136386304,3224.0323474022593,3230.4971458531336,3239.0539513956032,3254.1631849527876,3266.576211953661,3272.758338966145,3262.052400430147,3263.5602936749306,3275.583683281734,3309.6363836207042,3322.6009867983635,3336.909085990597,3345.825243485258,3370.0423347379297,3383.020214294855,3405.163022141205,3422.2273442085275,3458.743427221302,3479.6219222889426,3512.084578477651,3541.3752588906596,3576.0682436758116,3622.9459522222346,3663.987585569619,3692.484502985773,3717.272383479567,3741.0874118454453,3781.16536301016,3821.629002441221,3868.24088755562,3911.733775921098,3949.841486642125,3983.6096045733584,4011.2051632825255,4022.441273171868,4024.366963992376,4032.17781952838,4040.8298003164173,4045.6588768992774,4050.106193685319,4058.0021995278626,4080.7825774638322,4115.453750562497,4137.475315505883,4174.782160741299,4196.0674494996,4227.797824422117,4221.8086744112115,4209.610786728992,4203.733627191945,4209.674365054382,4236.331295144019,4249.4901631297535,4271.592108988879,4290.763605938462,4317.129034410878
394463,3,"Chicago, IL",msa,IL,1568.320711404176,1573.9825729679103,1584.4350435542976,1597.3237387838203,1611.3548029790436,1621.5700354241296,1623.067687237913,1621.9409066280218,1618.2932709801255,1609.3220851611627,1605.816226451833,1608.3862269942176,1615.808808724216,1623.4913847334933,1633.3106971279199,1642.9708785644807,1650.4437468179833,1656.2973885734305,1662.4136110392112,1668.6083760671233,1661.6532882307777,1653.3223973432857,1642.0211016551243,1635.625421766335,1643.1241822498496,1654.4031015688076,1673.3865222490915,1688.1406974030651,1702.06736056641,1707.9549129011236,1709.7156486144063,1706.6903583266844,1702.794457400122,1692.0338047018622,1686.3323481393352,1683.9113802980678,1690.9555000426583,1700.4996736045925,1714.4118105898003,1728.5779867365613,1737.2498964482827,1745.1019205275682,1747.6158158584913,1749.5643256491437,1746.9542602252213,1741.0926517910625,1735.9632828830704,1731.971362948132,1739.1249384487678,1745.2414815575262,1758.4743212457165,1768.2190638577406,1781.3949673716563,1790.9175799570219,1795.9809356092273,1795.852852503297,1794.481142670611,1791.305535312746,1788.2390496196929,1782.5611101020327,1783.8796130862286,1791.846758317085,1807.6095559805217,1815.8891427703961,1823.5122340169064,1827.8937446205946,1836.03405227124,1843.4711921636333,1841.6528964411912,1838.043289425944,1836.149580892415,1842.1056924099091,1853.4257255245375,1867.8920166827884,1881.755328389164,1901.3974355736866,1919.7354426637758,1946.2147785115583,1964.3523468410554,1980.0484581240482,1994.3395735335728,2004.5943375244315,2014.7140696062056,2023.180021861054,2031.312832852473,2040.0828038725851,2057.6727763298763,2082.550894384635,2110.5468653263324,2129.7220638286904,2148.2881555631893,2162.097029265923,2165.3116573025018,2169.0602109430192,2163.2292178022453,2177.1325828892395,2185.9697491653114,2203.985109072684,2213.042559804842,2233.910900193893,2252.8792549594195,2274.385056966559,2288.0808134578674,2305.716764418739,2318.3976851613647,2320.1227605322974,2318.2745719771647,2326.3097918086796,2336.992669785744,2349.988551592175,2360.8512485196975,2388.2198742967103,2409.89540658246
394514,4,"Dallas, TX",msa,TX,1394.5673904554003,1403.2579371611619,1413.6059653911552,1428.0579945333757,1441.356418759137,1452.3274637986808,1461.4048974953168,1465.0858181001465,1465.920384264055,1465.3157238454385,1466.0903145059965,1467.455568909908,1470.3778224161817,1478.430261571295,1490.3442392348218,1503.196854247969,1513.9745114103753,1522.9103898722644,1529.598011551741,1532.86627683999,1533.0997572763567,1530.1019723451325,1528.196010858937,1527.4144235078325,1535.7451625850974,1545.8007230749276,1561.4551368801829,1573.9235639063727,1587.6903984800783,1594.943651681794,1600.288178204676,1602.5994205766674,1602.8286031021412,1602.6699747371576,1602.062165895129,1605.727558435597,1610.905956706174,1619.061502840126,1626.6593564531147,1638.1468258631214,1646.0092839455813,1656.4815482924128,1657.9722468438435,1661.7282195870844,1661.8877361204295,1662.9657224404064,1661.428108802325,1663.0456194523063,1668.7918207371044,1677.3124177917707,1688.358368672034,1699.641647270865,1711.700156677759,1716.6261126990491,1719.272365842355,1720.2285450322483,1720.5734313052224,1722.7082574275048,1723.2744674368362,1722.2698573325727,1725.6916952590107,1733.0764719030105,1744.93454025745,1749.1074033183145,1753.8370085389736,1762.0740441155674,1774.0441422205545,1785.8567713419861,1795.078456181302,1807.14582451778,1815.6899761000943,1825.1566649386464,1837.8718963276656,1853.2191000187652,1874.0183251421258,1894.7806657741974,1924.2481165941863,1952.5459052672315,1982.4545909821263,2009.7295989708246,2034.918700028726,2058.386069558558,2070.590952741948,2079.333512062985,2088.224862055371,2106.5844963722325,2128.1474457481977,2153.824366356398,2179.2598748636938,2206.835615018587,2223.9686225470887,2235.663547833949,2241.7551888589596,2248.6244853766484,2253.0132278684277,2257.0835605922953,2258.912742017049,2264.798882477182,2274.401395681157,2285.9861853396883,2300.5306801271195,2315.976063550452,2330.8538469208297,2337.3168115389944,2336.450802514404,2325.879032049832,2328.35200736139,2326.190129207394,2335.5101806218545,2339.5093365203834,2359.033979364889,2372.802099984555,2380.519098066211
394692,5,"Houston, TX",msa,TX,1523.3803320521606,1529.2650863660774,1537.8476187565245,1550.4004845648062,1561.9877554299196,1572.2117447798914,1574.8332756679981,1574.875640747536,1569.6189212705676,1565.759027947325,1562.7403692745122,1559.1522506982244,1560.6817814711217,1560.6596155097925,1566.0206062035975,1567.7551655253046,1572.0966433514463,1576.1073263683083,1576.826321695977,1574.0713053516192,1566.7358916844187,1559.3629670122834,1551.136702641288,1546.266934757344,1549.5565834371585,1559.9161946919762,1572.3850818730334,1581.4330506490485,1589.2020611674986,1593.8277241808237,1595.4193911959403,1594.0521749368618,1600.9195119670433,1607.8146466069115,1613.798776909884,1612.8519483524144,1617.8072028587892,1623.4095406552342,1629.0787056373758,1632.9287753641318,1638.9581175051817,1646.9642998976979,1646.8809445282984,1646.4981179752028,1643.2557627910476,1641.9573270418944,1638.050847547014,1637.0472020014827,1639.9755615785512,1647.0405743726585,1656.4142817322515,1667.3265931416995,1677.0410521816784,1683.3377257427815,1684.9410520614404,1683.0256346333867,1682.0764135252743,1681.367385110364,1681.659231904392,1681.5886415431526,1686.350205335547,1692.6715426690812,1700.7519916937952,1700.4464594423891,1704.157899002773,1706.0934398425104,1717.4132659720412,1727.5569573800426,1737.9745206806037,1745.446263892966,1749.9646741560582,1757.4545848462512,1771.1752525209931,1785.3982573174928,1799.718741249434,1812.7834851153514,1833.4116637374304,1854.809962427787,1866.5705281988967,1881.6328727154066,1892.5301009948323,1912.9454267940816,1919.0622673813787,1928.072237537507,1935.679565808802,1951.4548079691303,1962.331633690737,1975.846297276796,1988.2576560036402,2010.323866212903,2025.355999115962,2038.2955617665523,2041.266939454619,2049.2089497925194,2042.3212874317614,2044.1686789370801,2041.4520869301255,2055.4186454267974,2066.166189530054,2077.504161415457,2090.2937770679555,2102.233668712801,2119.2371079222485,2126.4382264659193,2130.5196669740076,2125.3758746676435,2120.3781681255587,2116.202554626878,2120.155178444013,2133.7821324351135,2145.818133981197,2157.3844137947117,2165.1802607021905
395209,6,"Washington, DC",msa,VA,2171.18430352027,2185.6406667978467,2203.853007943778,2214.4202622828957,2224.0994645298747,2233.0841249021437,2237.3414433357084,2235.287449944326,2231.647287933204,2224.0081207924854,2221.886648780898,2218.114333360265,2225.083954377456,2234.7632578988114,2245.324348730763,2254.631693677479,2265.8009988415583,2276.086368793748,2282.9757347463637,2283.42490235863,2275.728990277308,2267.492080341352,2260.352406538472,2256.7001205528563,2264.3104798652435,2279.309260089509,2301.8328844884068,2315.695999795556,2324.944217783777,2331.1548263055524,2337.455193857749,2334.5244720344217,2334.0550929883416,2322.3885733192183,2319.335254026706,2319.243354863444,2327.7116786077345,2337.1275266707385,2350.742164248168,2367.865644833269,2380.550331784664,2388.214284101883,2391.9937425724656,2394.1219242681877,2388.4860708418496,2381.3263492493293,2383.6171578881635,2384.8809359186985,2390.282237158106,2398.5112938872676,2416.8713304782896,2435.7627855539677,2449.2486606719917,2457.841873892547,2460.758845999379,2461.792734311766,2462.3425297929266,2458.0066617298917,2455.1976482040877,2447.5797956539463,2460.1007516385666,2468.1849915382522,2489.3009512424137,2495.701542089588,2507.5179472402233,2512.7576315232395,2522.9057166052403,2532.7211246429456,2540.3673141582312,2537.035098204129,2533.012687883189,2531.133578991141,2544.666517407406,2553.49892953675,2573.7767091421015,2594.670557851551,2626.8762097622166,2652.1522515675592,2672.803213503508,2689.6706898898847,2701.5135032989615,2716.120754405156,2722.792934407041,2726.8048702662595,2732.5147860551333,2752.8114431593112,2780.352876950346,2816.9791990515378,2840.124228007657,2863.4951270945626,2876.8870861068785,2891.07894352831,2898.096661163261,2900.3248479676554,2902.7992302679436,2915.6049726191122,2920.3284129194676,2933.4870885777623,2943.584269389202,2964.9734648845274,2987.3023740149574,3013.5716581729953,3040.717870080879,3058.8383784483053,3064.364752849011,3065.252790025681,3072.802500118692,3069.5121499786687,3069.928458658154,3074.883613219461,3102.710095041577,3135.943072083582,3154.3527078609563
394974,7,"Philadelphia, PA",msa,PA,1384.6690570822846,1393.7294333600487,1404.8842505216207,1413.4023580551807,1417.8366936436587,1420.8459003360688,1422.967646602245,1423.2550319469958,1424.3910722833116,1425.2744335665716,1420.6266172700134,1419.3097702071545,1420.3712516128555,1431.0815937477425,1440.848395216474,1450.711818919407,1455.708371377494,1461.764957910588,1463.5169720254517,1464.3361137568158,1460.7169252563228,1458.181160139295,1460.7238820146526,1463.1663271347093,1471.0593731988529,1478.6138473415017,1491.5296601961936,1499.5479602491134,1505.6971543301315,1505.8952355848721,1507.3528438194837,1509.8115107896315,1513.0703427636581,1515.3954563642635,1516.0454683940643,1518.346380954675,1519.3698502669033,1525.6530223131233,1537.6896069672225,1550.7501448372614,1561.7247612399028,1564.9911584146803,1563.4787294633513,1561.1077916339077,1563.4778253531165,1569.840792729919,1573.793527618605,1573.0351316439014,1575.20502489907,1582.2926536750326,1593.2315710001462,1604.0769107298734,1612.9395576893028,1620.801620946843,1624.5483413552736,1624.8597126875554,1625.1599952341846,1627.4041644146505,1630.564487025801,1635.207536600977,1639.0416761477381,1647.6940938305474,1655.0880180794572,1659.2848522477486,1664.2306714465071,1670.2519580000542,1684.4865935422815,1691.8655580465363,1703.576250191859,1707.2045796567807,1716.3417375170404,1722.3562998781542,1734.1670409961205,1745.885315955866,1755.304029792373,1770.9858431750772,1788.1314127119063,1805.0613542378426,1819.590259866058,1834.5765010908744,1835.3619358724825,1849.6227570109095,1862.9692344309801,1891.2974519175189,1903.4186345375974,1913.2592367662587,1923.069398084286,1936.0452701966465,1951.1127834966787,1969.545369256004,1986.9447053523018,2000.667570101934,2009.69935805666,2011.3835985703424,2018.7250206168824,2019.007005907762,2024.9404455963704,2034.6738138837818,2048.962700917642,2061.107986830722,2066.700916470796,2076.526110708189,2088.6128467311128,2099.1140443402423,2116.4813724280934,2133.437855440659,2145.748114027665,2143.3880411656323,2148.0528181128684,2155.500505348689,2167.7434144646168,2173.31537561895,2182.044544865321
394856,8,"Miami, FL",msa,FL,1784.6726298876845,1791.5517709145618,1803.2394915335392,1813.2457257848469,1821.4416132355907,1829.4335250682986,1843.2110412618194,1852.2266283790207,1866.1728413006554,1872.7877594347997,1885.3997389671558,1890.1727902230182,1899.3984711832236,1898.360454592981,1903.0560154057323,1903.6431949202783,1913.9693975219993,1915.53326400707,1922.4232879380995,1924.8129580228983,1932.4451424901235,1935.7988071950504,1942.9337157277596,1944.0673166404843,1948.872470321243,1957.5622249594405,1969.9913583277512,1976.6966944666935,1978.4066830575318,1985.5983420301527,1996.5078281343135,2006.56966114559,2012.3767404510013,2018.6522133847984,2023.7153461572868,2028.1196827932934,2031.247657550814,2037.8820552336456,2046.5500814770223,2056.1476301247585,2061.9137959963095,2065.5250655908626,2072.9115388490322,2081.512110287609,2087.8007216267015,2094.200638698394,2101.478605986268,2105.2171908974415,2105.613285330526,2108.881988759168,2120.925887106965,2130.339875748051,2136.7673979099645,2144.240759321555,2150.23472817887,2156.384173409357,2164.7773530211753,2178.89054669636,2193.6636214629557,2197.9681361597495,2194.0707924270228,2200.0940222009726,2203.452794697148,2207.4273865171062,2204.3788024850637,2219.482357277721,2242.1799831845588,2262.1013556572134,2286.275922511031,2322.9651646965444,2360.454336932415,2384.2906296688966,2390.9823246924925,2403.979158809,2417.643171600363,2447.3211125105236,2490.0277049232986,2552.22563869401,2622.328447187689,2683.470711964323,2753.1739014147593,2802.6568082553326,2875.3281799333763,2925.5282376650944,2987.7976252352064,3021.8735592992743,3073.4620742324655,3128.4965543664157,3196.936164107125,3253.1354881563743,3295.1792748898047,3322.5547604859544,3327.6031676914645,3336.579095354393,3344.7229296665555,3352.6084514206445,3341.179876350061,3330.0758495654572,3328.715199905099,3355.0804785188784,3382.3636067572093,3419.6258729211627,3435.3727199695318,3456.709589979561,3473.0759675842314,3493.522039458221,3501.394890522811,3478.5395470367807,3468.4918055600824,3464.0189479131263,3495.097602286772,3514.5391769359503,3537.702405811319
394347,9,"Atlanta, GA",msa,GA,1126.856469735196,1133.738370466111,1137.4004857168431,1148.1918178418925,1156.675009845855,1168.6757937437546,1175.5127578655015,1178.3177266318492,1179.0265495727579,1178.4746020823459,1177.8489795029566,1180.3980849796974,1186.0545069431946,1195.9996048212195,1204.0669498338343,1212.6976550069298,1221.7354210427761,1232.0210370949706,1240.1983353607523,1245.0567214595371,1244.360195734992,1244.008614228426,1243.156270579861,1245.7497691568353,1250.599526173345,1260.3614049866903,1272.9664250361188,1286.6070160945408,1298.8439176719519,1309.2914120678738,1318.3113418774872,1321.5736871483487,1324.7930704330643,1321.9279475777055,1326.3544768577665,1328.0961182721785,1336.3157970882714,1342.7346038927244,1355.6441024443566,1367.8671105379115,1380.7055671211858,1387.6215803099692,1392.2806671916605,1394.142823211107,1396.788481520902,1401.8857845316086,1407.1113189719,1412.2966561976775,1417.49562814592,1425.2394901630587,1437.576407478472,1451.4031715857714,1462.8013923281674,1473.5948937915339,1478.8554425982816,1482.6468869708524,1484.1476717257517,1486.6892089891835,1490.186277798469,1492.381628217307,1497.5004845463088,1507.3840713576985,1520.986651591552,1532.4667674615255,1544.1202535309912,1556.175592799591,1572.0145273795663,1588.6943055751956,1605.2601172369189,1620.0556852863745,1632.1467748178882,1643.8620996072923,1659.7933643717117,1681.6447172980684,1705.8793430585374,1732.4029567196906,1757.959991184297,1788.357144014856,1816.7732396638412,1851.4240547810566,1877.8971275621113,1903.0656548676127,1915.8612767287684,1925.4075030945985,1933.1358234086063,1943.8144562172727,1959.7760149243466,1974.7148397840776,1991.978859656271,2014.699543835828,2043.0072238857654,2065.652558089269,2078.5357633926933,2084.512832460258,2085.263480221438,2096.0567581207274,2098.7409469067393,2106.782524290291,2110.6384286819302,2117.985055479602,2125.4858182086796,2129.7538602423983,2139.7938215413415,2148.9320250188575,2153.579847442053,2146.5839660488314,2136.499286583051,2135.489566185333,2155.949619390594,2180.2666614474733,2197.98172987532,2202.375851354235,2203.2501738624383
