RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
102001,0,United States,country,,1185.8092680331526,1193.3754663237298,1204.6292714866163,1213.2776464758253,1223.3370663958437,1231.0488035999958,1237.9279845888848,1242.0896038860808,1244.648746110951,1244.9044489942055,1243.9858348754815,1242.7823286662983,1245.3764474239788,1250.8309107991647,1257.7744149744276,1266.599802575701,1276.0840885757618,1285.4452332076787,1290.705293558481,1293.427238434514,1294.2269077703545,1292.2142415307899,1289.6498625278196,1286.9549260525494,1290.0315157004286,1296.31657651138,1306.5081261938763,1315.455023413229,1324.66601326507,1331.974358457686,1336.5150979154023,1337.13148971116,1335.209354423275,1331.9107371826788,1330.05157302508,1330.4547259722272,1334.1968816179954,1341.2057619857535,1349.990248966338,1359.6326586815276,1367.9051805421768,1376.3401329059811,1382.680100037602,1386.651903688931,1385.2446475406732,1382.4982851401803,1380.8887210914013,1380.9374428537935,1384.7315449086614,1390.1683230538033,1400.0781609675985,1409.0737548171148,1418.7763110818307,1427.6192044966397,1434.7453541794744,1438.1602402524009,1437.054970572634,1433.46407603147,1430.0907551671974,1429.857721172157,1433.8739688163357,1441.4754875594883,1446.5609172367188,1441.9882876148786,1434.2231858488672,1429.2614745117598,1430.2649112642437,1426.870544250757,1418.3947265402155,1409.1671977899691,1402.0290847411288,1401.1095363757804,1408.0394188162604,1420.0107461283521,1435.3195032007116,1454.4280640752654,1481.0691322217601,1512.6933089333909,1546.1678207713671,1576.769358167661,1600.9282513184373,1614.085924146883,1621.306649169226,1628.321160896044,1636.9348596932641,1649.115682114989,1662.5876872003553,1681.9675188809358,1705.0841630641696,1729.2024867266693,1749.6066607305168,1758.7230649248154,1758.9615359723364,1749.6508210053678,1740.1932445446262,1733.489195231519,1734.1407999100718,1740.1157583628049,1752.3646560215116,1762.3877164225362,1774.3836408920504,1781.8528427878252,1790.304308560126,1793.264542896586,1791.713137735153,1787.66760861478,1781.124885616369,1776.4544809953277,1775.959575704111,1782.7986531997035,1793.3281484935285,1806.0341603670684,1818.6949090180428,1829.802723715346,1836.7199772197253,1837.8774063467622,1836.2382432517934,1830.122596025626,1824.9370999757407,1819.69738311667,1823.5205356518416,1831.9153072850313
394913,1,"New York, NY",msa,NY,2210.236442295358,2222.805256639907,2240.724828249638,2262.8484554300985,2282.16269805456,2299.5474801532164,2310.4158120115108,2320.095561643569,2323.795820073285,2322.0548031038074,2311.212302929397,2300.4300026900473,2294.3539158922376,2297.595273987128,2306.1211938194383,2319.6566800540613,2335.050120011547,2350.025667819743,2363.7904909785925,2370.6037635295324,2372.198071143207,2363.944180058137,2354.935230999375,2341.037786461785,2334.34700795082,2333.074425858219,2343.21440380795,2357.8790697512463,2376.4801945428776,2393.3379088191937,2405.1845176067764,2408.8177882726377,2402.270427215968,2386.1155344973695,2369.1530454059002,2357.6237509812713,2355.0679311928507,2361.2088987443904,2373.7187743280583,2394.6210830342266,2413.27185804054,2431.9202643494473,2444.779586035844,2454.435216601384,2455.0942086894074,2444.979775048745,2432.7417174767475,2421.2345249982304,2421.095853887979,2429.315563163652,2443.446460067597,2461.887315106976,2482.64494377608,2505.9250223871077,2523.1500559129695,2533.056265153722,2534.4900770603526,2526.680082052997,2514.1034797355383,2501.8633195200528,2501.98501131741,2513.571323069347,2522.869728304239,2512.43567671363,2491.8705422087082,2465.5737895720486,2438.7603490975175,,,2288.1060747275865,2253.005837102263,2238.4594664000847,2236.954540945625,2253.3559401845264,2275.483520930712,2305.6835073766283,2350.1329759213777,2405.4210822661944,2468.8739638626384,2528.643541560645,2576.790212876457,2607.784311612215,2629.6379425887662,2647.72495491223,2670.893998184809,2699.222844714034,2736.301884004035,2776.417877011028,2829.0862797388586,2884.210144399777,2934.722830453842,2962.2332327777976,2965.536715285732,2947.2635626370416,2918.582679698026,2895.785932591791,2892.251496719302,2902.953421313235,2927.25626619465,2957.1820572256734,2993.5266846999266,3026.864772552542,3051.3477545332903,3062.0205082858224,3061.3094482341908,3046.8189946262114,3022.178267887443,3001.274516394057,3000.3025658214146,3017.1681520218917,3046.5282338558613,3076.619143319556,3109.7018312657074,3139.442081716693,3156.4967420805083,3161.150031766304,3151.440496797671,3135.5469355892733,3121.5715328562183,3110.75550870944,3118.9954352855307,3141.995728220076
753899,2,"Los Angeles, CA",msa,CA,1680.82305981085,1694.8652604863737,1713.15961351794,1731.1950320756282,1741.8992669575484,1751.6890466022483,1763.1832593673512,1777.708564084135,1792.482533165564,1800.7873134446174,1812.3795804722047,1820.0696388451531,1829.8638096221114,1840.4281515545765,1851.9564166781659,1861.1271993117723,1869.8376769117785,1880.3408239347543,1896.6113520514239,1905.7675093624448,1915.3005522599492,1921.79649450554,1931.9357962663428,1941.916317570853,1954.8019457823025,1968.6931995736586,1986.1934901400878,1998.6464954325359,2009.523847794647,2018.9324550696208,2029.9944802882494,2038.0778619428322,2042.8233264435275,2044.1748919749014,2046.4039635451302,2050.8173750402966,2060.9524195622184,2073.5691391061628,2083.0261847814572,2090.643743698246,2096.4588845441717,2108.788763005525,2121.523771990697,2135.9505218249424,2141.2774582850084,2143.5699741759317,2142.415949105121,2144.746832864318,2147.9579389647834,2153.1213262916795,2163.6628083124756,2174.2193801220333,2183.430713518062,2193.380670104027,2200.8148547445885,2211.586333004676,2216.6254771278655,2219.3595607017887,2219.0303919994712,2219.333073581377,2223.406880159122,2225.3522013528204,2221.778157098284,2206.2356503881424,2188.98860931275,2176.638667993228,2171.3845355967733,2168.2686111008356,2164.271843779782,2162.8362359570137,2159.782900924395,2158.0039056545306,2164.402263155595,2174.041014218558,2185.973376804623,2196.8516892971334,2215.579296234997,2251.6439601241455,2299.930524714948,2356.4444930415934,2399.759977683982,2426.066520674184,2438.529879098661,2452.454142401514,2468.9901715666465,2491.535633795083,2512.635375186157,2539.256696922314,2563.5470782261846,2587.7702913771086,2608.325956843924,2624.7486427067533,2630.563227329704,2622.942872080177,2610.903822167862,2599.5337618926824,2596.447615175356,2600.811018753896,2612.5476138876074,2621.4949228611063,2627.536245382804,2632.2195016429496,2642.3476654387687,2652.043554885704,2656.018852228123,2654.3374235988504,2640.82791877579,2629.9517902506936,2628.4823591836544,2638.1500262320565,2653.2157609640676,2662.3291084559287,2675.2128894490434,2685.7348651867187,2696.7946801141447,2700.422419528437,2704.8852200477627,2703.562880602738,2700.7285282474786,2691.5640908579817,2698.261097053291,2710.2282591846138
394463,3,"Chicago, IL",msa,IL,1392.2020680782068,1400.143432498367,1409.1240807159427,1415.9386555089495,1426.3087631193773,1438.0893354825241,1443.5216395302723,1447.4622458687534,1441.4224587221154,1435.830852059823,1428.0695304990165,1427.7510572742053,1438.021091399902,1448.2274831594352,1461.337885642171,1466.9319470498403,1475.6128601116457,1484.4740314544747,1490.9969921503475,1495.3350672051126,1487.162250853738,1478.055017015251,1464.1020316285121,1459.0670172810499,1462.8476412165326,1479.4871085161308,1498.2678349295481,1512.3786819426416,1522.5499608417872,1528.5511241958047,1530.06237167151,1523.670536878078,1515.727046564709,1504.114991737614,1496.898537580346,1494.4936811122864,1503.3280877166872,1515.038835249066,1528.766293911961,1538.7999966419645,1549.9557824435356,1559.0222587397755,1564.110891352522,1561.2639405152727,1548.542886642434,1535.0478493236435,1526.65774528142,1530.7528215729976,1540.765371050142,1552.3217729056028,1566.5208743613125,1579.587441517399,1592.062696142078,1598.2110899627778,1601.2824361075159,1599.9923357748155,1594.503357229559,1586.4780939921086,1579.1791002757313,1574.0626304397547,1583.228070969569,1595.0190823029238,1609.2760899755951,1608.0234251291579,1604.1079163476443,1597.9306281308116,1595.1999779347357,1586.6030034059845,1569.8163879826102,1544.0018252597267,1523.2034491019547,1513.8515111072413,1516.962030629259,1529.7109020957846,1548.3283751828617,1576.576773094275,1604.8228252912822,1631.240096265359,1649.8080485528603,1661.9859861802825,1667.1072792443604,1664.6828690087143,1663.1727462310198,1667.630192872494,1681.0154891974803,1696.5579786171306,1716.8896789794064,1741.317240471606,1768.9256321050163,1790.0938280261362,1806.6434623401233,1812.6453150464777,1811.849703138451,1805.5399075296941,1798.5750088842235,1797.4772474826896,1803.7090205297272,1819.2295606135979,1838.5408775133972,1858.1665650645245,1879.1579490941115,1897.7900203758707,1909.0111464712245,1913.914621826254,1907.8957322580413,1897.3699027100122,1886.0514369623534,1886.0985110139247,1893.9619217352247,1910.003800357673,1926.462584700104,1949.1050829791159,1968.5100081794737,1986.6059287411529,1993.7536009725795,1993.6595928530085,1988.339877316193,1984.5166922061358,1985.7845183188665,1987.8557623116305,1994.9863661800764,2010.420553328897
394514,4,"Dallas, TX",msa,TX,1032.518744498122,1029.3967532009679,1033.1632199607927,1046.5743822114587,1056.8702579463438,1069.7411354966575,1078.3202416096265,1083.6932079044793,1086.7057724480696,1089.464959615589,1095.982235212978,1104.1314357131464,1099.7991238678553,1098.4537757282324,1101.5419663455195,1122.4990434791546,1133.7377022036226,1145.3909888489527,1147.0791256812836,1154.9868998931122,1158.6341112280238,1167.8260818149881,1173.8663743565908,1175.7675858284472,1175.009728664863,1173.8452450643497,1187.428717034817,1195.778393830904,1211.875010794962,1217.0403104233349,1222.408156396584,1221.76578470917,1218.002393098022,1211.5059796895516,1213.6782170235115,1210.8002969129582,1217.3441290484157,1221.0570382475153,1229.4484613876996,1233.7652156546685,1237.6697763267643,1246.6793796109862,1254.545004421715,1256.0876234819207,1249.3232570180505,1250.1414121102098,1250.7146168900747,1253.710612790522,1252.6982910610222,1254.9969224169727,1266.4656404575333,1274.8921821253687,1282.8108736440167,1290.8224347259575,1296.0027528471073,1298.554262895189,1295.9190328035102,1291.6772913392333,1286.3649521835139,1279.5461083970347,1280.640199050873,1285.898065448893,1292.109593349194,1289.4476352371123,1283.4453598562206,1279.822347461679,1280.4906437896536,1282.1278378037714,1282.2032337280677,1281.5894481420105,1279.295179081592,1279.9455199022266,1284.6777955747116,1295.0744170691278,1305.3002807108865,1323.0874515133992,1346.0134677441256,1378.9961832187219,1413.8544351374594,1446.4121008538812,1470.2260100187063,1482.4107000370905,1493.546555254195,1502.4244834485137,1513.6373574975748,1523.5625536538141,1534.6602880379278,1552.3316085861725,1574.5715316272626,1603.7582625619498,1625.8493448843626,1632.8208839663312,1626.8652704183044,1608.1112671574956,1593.9415074608446,1580.4043450130464,1579.1346033131304,1580.439065581352,1590.2416695062795,1591.9025446124488,1596.5411727268022,1596.99673994764,1602.7676670010676,1601.9806223586234,1596.0608988411261,1588.3779309400475,1579.4817792029148,1570.0594270567287,1564.2661513530977,1560.4123055224827,1562.4046183403611,1564.7448869520506,1571.258596810417,1575.4944139783806,1578.8737475543467,1579.0465034555723,1574.068792308743,1567.4422852983325,1560.4375468662888,1555.6510785398507,1553.2333156270806,1556.2300346571103
394692,5,"Houston, TX",msa,TX,1140.5105699176272,1145.0517678996328,1146.5852557135577,1155.2423657118973,1166.6819672114227,1176.3305752699607,1182.0825806396326,1188.0540764387647,1198.4958561206138,1194.4780634779338,1191.0590483400651,1184.7191802375169,1182.0643536072764,1185.1042497630356,1199.2084962683434,1217.5870379098362,1225.7399156490035,1220.555173669589,1217.9768543689956,1209.3048456369702,1208.177728338724,1206.8304150910833,1203.3294883171006,1201.1751106321997,1194.9283792529984,1204.3334620576554,1207.977671136179,1205.0863158242303,1212.2730261090057,1206.7901031731353,1206.2251097930025,1193.051032351916,1201.7708831210518,1214.9998648491705,1237.6583818648257,1252.250466827248,1253.8746803337067,1254.9895644733306,1251.5656182908879,1260.753616643958,1259.8380269894928,1261.8599182730802,1260.3278132888472,1257.743926070361,1253.262216367421,1255.2411678466588,1258.3901301821998,1257.259264627139,1253.108809825087,1247.990171583963,1253.2299475810023,1254.8616437303594,1261.940362255776,1267.2819242317598,1272.067333518874,1271.9565575553493,1266.5401550022373,1264.9651216632296,1263.682442303434,1267.470652005519,1267.7395600434413,1273.7720961272835,1275.5713906739977,1268.8604334882675,1252.666920705427,1241.604213411604,1240.4967363830795,1243.1457930632212,1240.5913538446398,1240.6656986054104,1241.1849085789427,1238.5589150326468,1237.8215010699796,1236.53172334653,1245.2063782129212,1257.3067588639753,1276.9047950932525,1303.6144574477757,1329.5380798848043,1353.199183335404,1366.0291085585288,1370.975820464404,1372.9970545292156,1374.2740108695941,1379.1771360113419,1387.429368400229,1397.2882015699395,1408.3865303840025,1419.4005998892978,1433.0517516784107,1443.9780952668625,1448.3383096422501,1444.7858880007452,1436.435481095784,1427.0780976697156,1423.2476842982608,1426.8853727045907,1434.4677263906449,1444.6459297077931,1448.315563782086,1455.9458710983554,1460.420291021947,1463.2867953966559,1461.6295493042937,1454.6163703915147,1447.6681470855497,1440.1851866199452,1437.3881147022923,1439.7399344876505,1442.79244211663,1446.172244741915,1452.599025832772,1462.2036098318413,1470.2785874831068,1472.2934369781399,1471.0449623560007,1470.5743902187332,1469.584604723062,1464.7468235899214,1459.7591924155388,1458.2803710681123,1462.128853867809
395209,6,"Washington, DC",msa,VA,1726.6486711997784,1712.506999619998,1715.7803171147725,1723.4601293923513,1745.27924962844,1760.3459377997192,1773.5194559033264,1770.7104095509571,1778.653591322081,1777.6065028956232,1776.406915232459,1766.796513104707,1762.4634569441512,1756.2065424431103,1762.9170422025904,1776.6561847564353,1790.9033083545762,1800.3149056456414,1807.5652494385697,1809.497731310454,1807.83020104225,1794.0387795420997,1788.1478278965365,1782.4438849899786,1790.1748106012976,1805.026444433443,1817.3151879840211,1823.9730381349243,1826.709107969333,1841.7812910765495,1849.514824539899,1849.5259886849133,1839.0183121450737,1834.0673996359344,1819.9620027681297,1808.6219794318613,1804.27324567008,1813.2259424312324,1831.9730059762596,1847.8226273281823,1861.0065439064952,1872.5591843110428,1881.2002057062748,1888.6236916458831,1882.2100547121192,1876.5517152574776,1873.562752162457,1877.7169797913264,1881.416683865986,1884.21739519493,1890.3973757821675,1900.6036862561914,1916.864560552019,1930.0704916443344,1938.3938078346769,1936.304939140574,1932.415618121282,1920.5222392395635,1911.5335947674484,1912.8228753074573,1919.8431652422591,1927.9769139808514,1930.9234734415027,1923.3482500323644,1911.8339456115723,1898.7848445229904,1891.752132822152,1881.7815593147632,1860.4512228620945,1837.6417498504645,1809.6630716703094,1799.1322943455832,1800.5727050179987,1814.424625747776,1823.957706927992,1838.5446276740963,1866.2207130054878,1907.5031486856126,1949.5136098416574,1983.8386492558363,2003.6480271116873,2012.2121934253257,2010.0318416600176,2008.1007973964076,2007.0067912917573,2016.6496950762514,2033.383318482302,2056.1003288309,2082.516761402297,2109.9535969443236,2137.632735559857,2149.8634596049505,2147.743274379734,2126.38135010053,2103.771903071225,2086.020170968218,2086.4198748442723,2099.1399307824504,2124.2544071247185,2139.303794249191,2155.9303730881948,2164.4525059995344,2180.1028559656233,2188.2661770632126,2190.35580168859,2183.9262336639463,2174.0081098678393,2164.1849399187986,2167.6945121323374,2183.9214302777787,2206.308114111323,2225.341855107238,2243.019516020691,2260.51162349965,2274.795520714129,2279.12900874301,2277.703983617764,2266.1819177781695,2255.8683131703788,2247.1821290255434,2257.240757744499,2273.8761065453514
394974,7,"Philadelphia, PA",msa,PA,1258.9126193854574,1262.6080467239422,1276.7823354418365,1282.3290278821248,1289.5315866693693,1295.128524227973,1298.677780404121,1299.269269518404,1294.4277849602936,1291.3528915088873,1291.4853507417754,1284.5193675914425,1287.1069876239487,1294.3477383513925,1307.7127807688628,1317.1538109787195,1324.6616479169845,1332.6536137540256,1332.451614331564,1329.5266466222008,1328.98798041887,1327.9998137920718,1331.022288717965,1325.0036223085901,1327.4119495114483,1332.2753759126356,1346.6080460539188,1355.193805739378,1361.3170603462547,1363.6376767411832,1364.4913340156384,1362.7407488244319,1358.1317636053595,1353.9376363785848,1351.1432978006944,1356.110452362416,1362.5799454401454,1372.9640597121709,1382.3969240006948,1390.4977379925303,1397.4799473167323,1402.7497684493014,1405.6117356117124,1405.63513635251,1400.403377470165,1399.0632143395699,1401.7706414300405,1403.1271016653782,1408.395568295901,1414.5486658703899,1431.2248904550718,1443.2116013373075,1449.8271633977502,1457.2005560528453,1461.2421530444262,1461.4275824087056,1456.1410072328986,1452.5209995165073,1451.5610708956015,1452.5711278953252,1454.4452299697002,1465.2877650496673,1475.053493868977,1477.532811806111,1474.0075462188051,1471.6963170843583,1474.9642936462878,1472.701684900118,1467.9337488143992,1464.0877602038297,1460.9538354330314,1462.8748457972588,1465.7483386784422,1473.1982719468108,1483.7200458112602,1500.9558067908772,1525.8038651164436,1548.0563363175534,1570.0330309823385,1587.5388993933104,1599.1548950871193,1606.4820320837991,1612.0814409235281,1625.916779257217,1634.8257905991368,1648.0902043034182,1657.6574694208562,1673.2915091804932,1687.4143360351165,1702.5842400337012,1715.0955910616788,1719.9870233421248,1718.3299570636627,1709.662785033767,1702.7808675598897,1697.890185863587,1701.4819527306768,1703.4452492441105,1714.4501138069734,1723.1165947431975,1735.8538298189324,1739.1419015735464,1746.5275171516935,1750.9096972116654,1755.2960585003834,1750.734640651789,1746.1202664308607,1743.4775053529418,1745.951756890862,1755.105232872594,1765.603876743887,1777.0567520972452,1784.9732226225337,1794.1358841613685,1800.5853621370072,1805.3872999802804,1803.5567102743228,1802.6919302779702,1798.3519030536024,1799.6950432204926,1805.5627573139716,1813.2605271721432
394856,8,"Miami, FL",msa,FL,1360.6647110787933,1373.4962084190302,1380.892105262672,1388.378198844762,1393.496206187827,1395.7128778022598,1403.7379117441133,1415.4734021852566,1429.8157171421383,1433.2426247050628,1437.7739172665003,1434.6577397373946,1447.932623759517,1454.8019927938872,1470.559277094436,1478.87526715674,1479.7846463250605,1477.344009056581,1476.5741907462505,1480.5334054952052,1490.128229896451,1489.043260107586,1495.2513091560909,1492.6641101843884,1501.2313727811497,1505.3245442005932,1515.885967345305,1522.9760047270852,1525.8306941096528,1526.8819274979403,1525.9597172570022,1528.9531232111651,1533.4368081361374,1539.0505763458636,1542.1856958580065,1545.3312662874116,1546.9738414460523,1551.2139169909462,1554.8602031168264,1559.9874575125039,1564.8575206019823,1574.778719151118,1580.3743013235203,1583.403258780734,1582.5912302233503,1591.3639263832442,1603.8321979792872,1610.255116931119,1613.4771606342592,1611.0808881482326,1614.0699204173425,1613.2283989019832,1620.7805798268378,1626.942943209485,1634.0775498191283,1635.7437538450931,1639.6718433520603,1647.7530300994197,1661.8195937997482,1673.8493776177763,1680.1551167738603,1681.8836053331636,1683.9920285268327,1676.708720905873,1667.0054465419723,1657.0059014434419,1657.3037207669374,1658.6058418353414,1659.9034080276015,1667.7032203141184,1678.2497401857927,1689.9786737977863,1706.1971868297471,1725.9253500313052,1754.2865835177392,1782.0446906015468,1824.0693423427344,1874.2713984872332,1941.644690802011,2006.4303839352547,2063.7461183637456,2106.5975422066176,2144.117971679119,2182.390802049658,2213.0550813291616,2238.2704985498694,2268.308275237601,2304.3842493961192,2339.6975061003404,2364.2798763451947,2381.3775852312656,2381.5501145772805,2383.7871139842473,2378.8645348118316,2385.4723536489137,2390.4822388522853,2395.586212159978,2406.5727671027876,2414.153357657417,2422.7278423981475,2424.9586609863213,2425.2796447415853,2424.463457600748,2423.951685998021,2421.5248968011456,2426.2253777543874,2427.87020343347,2429.333521826799,2431.163815177404,2444.580293300262,2457.9063999587074,2473.1447555804843,2477.6314073295835,2483.8482644213695,2487.317646033516,2488.493912627517,2491.8104861521942,2489.9811698051544,2491.4767580239345,2492.2054660763133,2496.0268418802307,2503.4657299186424
394347,9,"Atlanta, GA",msa,GA,991.8096815499555,1003.1548064084471,1002.2741544305942,1024.1387181082453,1029.9029422022136,1043.7370626194977,1047.7711639094553,1047.6890749030877,1044.9425013483576,1046.7943003848043,1064.8921899886088,1075.0151737961073,1081.0355861045568,1081.727204409373,1098.0124650850255,1108.5801965913229,1120.4236371978182,1127.05850824529,1136.7613163955,1140.9939550264671,1145.7934920021307,1151.8191685111683,1155.427176605747,1154.7799362515511,1159.5255349117465,1169.962298946289,1180.8787224073237,1195.2556543709989,1206.043290209215,1215.6080328998262,1219.362846320431,1220.2061805426545,1226.8912211023123,1228.2970187568708,1227.5208744140853,1224.934993995423,1230.0677418003984,1240.8180033940039,1250.5890631685727,1261.1190186831632,1272.3934576813658,1282.0893941813938,1289.128878466673,1294.5913172320381,1297.305666152152,1306.7364849486999,1308.2236995969135,1309.9240653680547,1312.5465272311408,1321.0309892034916,1333.4718848741702,1340.7482751652133,1346.3384982917241,1353.6001700582474,1357.5594846245015,1362.347252954505,1360.513411879649,1358.0560059333052,1349.5824832067833,1347.5628388519801,1350.8095645138499,1361.1440985079225,1364.1226799209462,1355.395059425281,1345.250065182731,1344.9116130878629,1358.6240717528904,1369.2114910892374,1374.1874148613172,1374.7316044803458,1376.806120612991,1381.1033535696504,1388.8469142408117,1400.9644449015348,1415.9936662407206,1438.3510511917655,1469.457641611445,1513.38483060352,1565.775549941588,1618.0538626807393,1655.9169726692,1676.9331055598002,1681.2169416221843,1679.7575091152344,1676.2459295761153,1678.6765287645221,1687.8057234956054,1698.7446325758092,1716.6593608778628,1736.756685977144,1760.310315660217,1768.4359825587678,1765.231276690592,1745.14331980283,1726.2229485122236,1709.2341111603782,1705.6465375299483,1709.6410386813147,1721.8567814560565,1725.7195323671187,1729.0511585150032,1726.8459672811528,1726.9284089868822,1721.3428078520908,1714.1597498935676,1702.2784342703067,1687.7709559156765,1671.8414160850493,1667.0700442171435,1672.3255035767563,1679.6421895193175,1686.8353898966513,1693.8114024409467,1697.622995782666,1697.271472767102,1688.595982409701,1687.7326654731842,1677.8054441527804,1671.4877533523395,1660.7245795302297,1665.112157198816,1675.1296225071421
