RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
102001,0,United States,country,,1205.697164214517,1213.4172491419092,1224.7088997496687,1233.532341553644,1243.576963005136,1251.440485998367,1258.341418339118,1262.6103440711775,1265.2127544889456,1265.5931458015818,1264.6921339693063,1263.3006332461343,1265.8245342103237,1271.2420017341144,1278.3241347080816,1287.105356085422,1296.5838998040285,1305.9177297386923,1311.3645791824877,1314.2292695274566,1315.053064424688,1312.8069388205845,1309.9754710971004,1307.0839873509972,1310.200538258578,1316.594186716576,1327.0668877047303,1336.0695223750963,1345.4533754140775,1352.7247775495794,1357.2823953033378,1357.8333971470577,1355.8841319143696,1352.6426342873783,1350.6416823857523,1351.0448243874637,1354.7812817204858,1361.927924392226,1370.7338115204375,1380.342343555249,1388.7276886458037,1397.2756175132993,1403.6976521058516,1407.6423836625966,1406.1083503759676,1403.2361930389231,1401.6072218377833,1401.7086347207521,1405.6608603523764,1411.193598702841,1421.142509149908,1430.1392960968426,1439.8192541214223,1448.7052568636943,1455.9394551719336,1459.412790071404,1458.2764423188405,1454.6201360012153,1451.2092080289046,1450.9367024655949,1454.892089292997,1462.4644637027918,1467.4996999468292,1462.5999807622072,1454.3979581368928,1449.078050413406,1449.9885442062282,1446.5061807021173,1437.9371847186956,1428.5064061012326,1421.4084125877007,1420.4187855582907,1427.1563885645755,1438.9340083255304,1454.3443286640038,1473.8924577546384,1501.0333618811492,1533.1255086835063,1567.1792866310805,1598.248448418068,1622.7788111722048,1636.1226176704997,1643.4210923328465,1650.3924260200502,1659.0592984871757,1671.4999847724337,1685.305818676894,1705.0070073850943,1728.3229889545828,1752.7675645015527,1773.2753551151864,1782.4857610408633,1782.7882711943632,1773.540490126145,1764.1663593990688,1757.5414488209806,1758.4554748407388,1764.5319735250798,1776.2411455822335,1786.1308930450577,1797.9981595080626,1806.0157996597989,1814.4132294305077,1817.4206546451264,1815.888961757376,1812.65688434583,1807.3762647169049,1804.1139635449665,1804.5431813180555,1811.533865683207,1821.5149710775263,1833.1311722786195,1844.6406316061164,1855.0268284261044,1861.6208915800444,1862.8487628679309,1861.2413297185199,1855.0869118036505
394913,1,"New York, NY",msa,NY,2309.6693776837756,2322.8527630940894,2340.945101873883,2364.122197635256,2384.4643156939064,2403.1790471628815,2414.5051773523137,2424.538046366549,2428.182203830647,2426.4638403938657,2415.242331818727,2403.85057639794,2397.291221955909,2400.371602765592,2409.1452119795927,2422.9060076696965,2438.4820247805037,2453.9836475444044,2468.8712945455577,2476.190707717579,2478.1958448521177,2469.5591684433557,2460.259983353705,2445.7014267437075,2438.191173550899,2436.357676367174,2446.9124135514985,2462.2696090161508,2481.932975332546,2499.2941243666987,2511.6929098278133,2515.1576210847043,2508.230971692484,2491.7622949434767,2474.342442351948,2462.259194784626,2459.158420429776,2465.4721732082917,2478.53866429663,2500.1761781047435,2519.675677393595,2539.185951750599,2552.6733344834,2562.677191078298,2563.283283937671,2552.493925134179,2539.8491376171,2527.7994719943026,2527.9975727710957,2536.2261451456884,2550.543185503896,2569.8002331866305,2591.5549656196804,2616.0068548224117,2633.701587058511,2644.262052807304,2645.680988150086,2637.551428763052,2624.312885381422,2611.8270920770374,2611.7432793552607,2623.6447523159495,2632.8912220997895,2622.454773730961,2601.0824808016027,2573.5153234786867,2545.104560729966,,,2386.8626972127918,2350.3029476634133,2335.576628496677,2334.3169899674917,2351.1639601236325,2374.214891256281,2405.9668426435737,2452.6585737953997,2510.5736519642396,2575.9224159068012,2638.495495146366,2688.6372260931144,2721.1810251758675,2743.6032320469026,2762.284644687836,2786.1338752505058,2815.5897728176597,2853.885699343385,2895.907846644253,2951.307276364792,3009.5173933357646,3063.0537055299883,3091.789060309512,3094.7587188502735,3075.387700548768,3045.4301141802102,3021.954747896642,3017.138895571998,3027.6655380844322,3052.429194141956,3084.8272193202565,3123.056804344311,3158.142264777169,3183.0745690383096,3193.964692890165,3193.8894525901665,3179.578274863224,3154.8156936921996,3133.347574243779,3132.4903924061405,3149.1633791670497,3179.132134835511,3209.801239425144,3244.5557243928943,3275.07170766295,3292.9317484590533,3297.6921242667813,3287.8575400569675,3271.2003264011278
753899,2,"Los Angeles, CA",msa,CA,1691.7278352654248,1706.2681777842404,1724.1649922194704,1741.4528599425507,1751.321574726017,1761.3066177797423,1773.6104424693679,1788.3048816836551,1803.4220652335339,1811.5325492097043,1822.4094289190605,1829.3970452688661,1838.9808316475905,1850.0504991643124,1862.173699160575,1872.3505177406144,1881.2544253756403,1892.0745835950183,1907.7950448490697,1917.1545480073562,1925.9014342913024,1932.0945413903232,1942.1619101943427,1951.5774564972555,1964.79383449434,1978.8196090945676,1996.976045390155,2008.9831216370696,2019.8853387269903,2029.5288344005835,2040.67490779121,2048.348477940252,2053.2097326682515,2054.8337803440486,2057.6592313725864,2061.721350540117,2071.8377000024298,2083.500091979513,2092.872601028143,2100.204724673921,2106.5694507941907,2119.147442584371,2131.606824306491,2145.9917663422225,2151.0307697773123,2153.978516271738,2152.708136014777,2155.190274980413,2158.259889027426,2164.0301951164847,2174.3896385495245,2184.6918687693783,2193.1403555789593,2202.990777078269,2210.072586298931,2220.6703610067943,2225.40498806044,2228.3384451557913,2228.1225802116824,2228.4858952208892,2232.7466994069073,2234.3652595449043,2231.323322105027,2215.3459753265242,2197.9266414329113,2184.4247020490375,2178.191560433751,2174.7177984940213,2170.7581772007,2170.0378707342925,2167.1883451648,2165.619333006488,2171.5537322882956,2180.849089246637,2192.850994286467,2203.6756849422136,2222.7608468469175,2259.039360950977,2308.0756362617017,2364.902970558886,2408.727415125449,2435.358035354606,2448.3707571502064,2462.860180455691,2479.0276941262678,2501.687362179934,2522.5059035667473,2549.739100645669,2574.278055644441,2598.48644381268,2618.9399906988306,2635.2292166658103,2640.7767065994913,2633.1218536986935,2620.7073803483568,2609.6864322864803,2606.5809232564634,2611.00308176991,2621.9489087927436,2630.651426502353,2636.4271053381553,2641.110762565396,2651.120865732264,2661.6024288780604,2665.866815316805,2665.651324101216,2651.6510533828055,2641.5920217852617,2640.112079866385,2650.324444395541,2665.5358214413955,2673.311148462034,2685.608567787478,2695.250283083339,2706.6449270674693,2710.5593004843167,2714.875065074454,2713.701886650455
394463,3,"Chicago, IL",msa,IL,1352.155169826161,1360.274393936218,1369.1503990965336,1375.6928814144392,1385.7169692021853,1397.070185784154,1402.3458495638383,1406.3467753765915,1400.3642166620145,1394.898970505902,1386.8560711789778,1386.386608686219,1396.613085315699,1406.8800451768345,1419.8614951714294,1425.1246491497322,1433.4423054329843,1442.0825757830687,1448.5658560601578,1452.8956095372005,1444.976347309019,1435.7121589686594,1422.4251897903039,1417.4239140311727,1421.36346430501,1436.9917870972445,1455.2139291224237,1468.838071806748,1478.8607188824374,1484.7130113858418,1486.3070697319802,1480.2789202272493,1472.541144080657,1461.287051097639,1454.0778815788494,1451.8103835698246,1459.907504314803,1471.2805396292165,1484.3756603924767,1494.5129074402664,1505.4430510233876,1514.4350761913365,1519.3391587807319,1516.6586374673943,1504.1282223427497,1490.7590398618954,1482.4078128490255,1486.3223962514078,1496.0860715670144,1507.4863266221225,1521.3447036039051,1534.242040991747,1546.2306700387364,1552.2645590971606,1555.243554158961,1554.0338625185045,1548.715574896409,1540.7449672309338,1533.5293188621251,1528.1499904617272,1536.878070001749,1548.5584756898477,1562.7125782584762,1561.6051738273356,1557.6735328865475,1551.7323469333571,1549.0100891713998,1540.3364288402179,1523.905698901862,1498.6195903564292,1478.5545087852015,1469.3955310955016,1472.280179139236,1484.688822729292,1502.4667152043332,1530.1194855348776,1557.5000155940686,1583.5353112304747,1601.7271062833202,1613.514260122237,1618.3600539887582,1615.6710432157656,1614.5326729725257,1618.5113995091974,1632.0257350601717,1647.272258378109,1667.4312399651594,1690.9849593898596,1717.1386626372664,1737.8616741214378,1753.8997943845613,1760.0409071596316,1759.263232458118,1753.5053735971153,1747.3139797148071,1746.39924800803,1752.5832724793295,1767.2174019199645,1785.361608714495,1803.913261562028,1824.262903020358,1842.6902946516523,1853.4586585771171,1858.2282927068993,1852.778620056612,1843.27410812474,1832.3467498186135,1833.0903490709068,1841.8529984650154,1858.0030997916917,1873.2186351130854,1893.8438382486286,1911.9960427171818,1929.37535514185,1936.1116280502124,1936.1721986329708,1931.1001705470737,1927.912201951064
394514,4,"Dallas, TX",msa,TX,1032.6237657391623,1029.6228805738363,1032.6566894119835,1045.9243641494722,1056.2295712391524,1069.4922203815152,1076.0630484707967,1080.4282975030642,1081.9095497156873,1085.6065986304634,1092.6819000069677,1101.9780254269415,1097.8417893787932,1096.717802454813,1104.106492543506,1124.1504576228817,1135.147162024046,1141.5936392303286,1141.6965512915963,1149.2494297573987,1153.66378102847,1163.1894182305757,1168.807794250831,1169.4392958799876,1169.0915137993932,1168.2869554596862,1182.08721119669,1190.6354597503173,1206.6713483484186,1211.5565874206338,1216.949020158859,1215.749792719834,1212.29323438112,1205.323553434083,1207.062722369367,1204.196626652847,1210.8451900035323,1214.964523858156,1223.442765144989,1227.9154915527984,1231.565446751943,1240.3792553622472,1247.9025972327615,1249.2484713872668,1242.1644190678874,1243.0477087107404,1243.7526678547445,1246.897639954238,1246.171689643783,1248.6188197674558,1259.2844482756914,1267.1082013184334,1274.5674517569828,1282.8049549346372,1288.2835617155279,1291.1622404992502,1288.9227020725252,1284.6355585682097,1279.0918276111947,1271.614261776368,1272.250970624194,1277.4635582625112,1283.9944976308461,1281.4411581792663,1275.1337062837047,1271.3751826220198,1271.956735933774,1273.5913374043066,1273.4109166154733,1272.7868081880144,1270.6727141122765,1271.4136688423137,1275.9546278951727,1285.5877893239517,1295.3787383244623,1312.959846110721,1336.4746449987697,1369.417267593741,1404.0242976216934,1436.218308820651,1460.3439238117294,1473.057237699999,1484.2461932189224,1492.9662385204053,1503.5085371565872,1513.5571538370007,1524.2648803225293,1541.9333827762403,1563.4712782763384,1592.5911939353161,1614.290806412939,1621.8592146697974,1616.4570476851695,1598.6661211562946,1584.8133023455691,1571.052746771649,1569.8433851224297,1570.7961427289465,1579.7069281117278,1580.9227206956336,1585.3158693999587,1586.7817477687054,1592.4516335808896,1592.0459210547212,1585.8821141920566,1579.5142368106294,1571.9235104279842,1564.5257444648946,1558.9414191509102,1554.5300643811684,1555.4495796054453,1556.5801642102392,1562.3875528501746,1566.1670552582682,1569.5764337596247,1570.1233630952197,1565.2777075517329,1559.054265602912
394692,5,"Houston, TX",msa,TX,1133.6014246397406,1139.7294201561235,1138.0700809189539,1144.7958063883327,1154.7367562674447,1165.9538454447702,1175.0262337131467,1180.3532606563729,1190.9099399108818,1184.5378347094909,1181.858001083126,1175.675991166248,1173.1355920008782,1176.1101039949713,1189.559116353203,1207.3176553787375,1214.1979761229945,1209.2190147404049,1207.1521363471613,1200.1034544092108,1198.84915699938,1197.6831839619683,1193.2291384012583,1190.4426599181013,1183.684556363628,1193.284798178482,1197.028396146671,1194.0818272794945,1201.2206719114524,1196.410842302815,1195.8638210750719,1182.3535921632713,1190.2504446869718,1203.5503065640426,1225.9849616298497,1240.6921448283194,1242.1435877997155,1243.3470297832782,1240.159429634237,1249.178535492564,1248.1848134934107,1249.9119246721023,1248.7395219599605,1246.318252211748,1241.3590702536126,1243.4217999786267,1246.8083065735457,1246.571246120036,1242.2505949858657,1237.194031110208,1242.132901948135,1243.381125101611,1249.8962563353389,1255.1129751716664,1259.8662894635097,1260.0330466251492,1254.871308228268,1253.4740159501112,1252.3254927286155,1256.214188539933,1256.367746195924,1261.9457753831423,1263.6261076518902,1256.908217481613,1240.78289486148,1228.946435215591,1227.9580007265613,1230.678504734534,1228.5664378379681,1228.4369706398977,1229.3297711828034,1227.1895596945149,1226.3170384880477,1224.7185160412996,1232.9465991957381,1244.952941490716,1264.1601869227004,1290.4456721471768,1316.1880595331336,1339.6028255910103,1352.5440604787157,1357.3992457603429,1359.6808131270602,1360.4799147790761,1365.5090572566296,1373.390183173349,1383.6520670514308,1394.367305940332,1405.5996502537255,1418.652655366694,1429.3326967293124,1433.4105468788418,1429.972228866138,1422.4651143329768,1413.8797017526033,1410.6760962951269,1414.5777456547457,1422.313898776301,1431.9684126909744,1435.1719736158996,1442.0109066232,1446.2903948523228,1449.040162319767,1447.6436381221397,1441.0593391152267,1435.1551804437984,1429.3593818816078,1428.646885655782,1432.0314386624698,1434.499226021242,1437.1347177338107,1442.1869741515507,1450.8799519400554,1457.967098304715,1459.8902152565133,1459.2865887702128,1459.059321437623,1458.1322658919646
395209,6,"Washington, DC",msa,VA,1739.2312767976664,1724.5434768034997,1723.5747855738675,1729.3405391520735,1752.2585559488264,1767.1733675241405,1780.1954065700545,1777.843750362237,1786.2204345350567,1785.3974001909774,1783.8308419923665,1774.0045753465756,1769.3858901431022,1763.5937641934297,1769.9990009787812,1783.798930350581,1799.0589095804903,1809.879797851852,1816.5810784376472,1816.9754910790027,1812.9552509844611,1798.9573560064648,1792.9253501250428,1787.944556417664,1796.338508453595,1811.580114030977,1823.8967380794052,1831.8764970763148,1834.5311489348128,1849.5761041484996,1856.014136836311,1855.7450126979304,1845.1380296122977,1840.1947029698347,1825.9769784923992,1815.0361474181232,1811.2515479775711,1820.7487403507248,1839.998719357909,1855.4991555512916,1868.6558373949608,1879.7773001598546,1888.2388611010128,1895.6675514543485,1889.6804793015872,1884.313178642559,1881.476210918028,1884.850395708164,1888.3981686247132,1890.8974778358265,1898.1329613458563,1908.5515711589262,1924.5964990308642,1937.6723664903825,1945.9916821784868,1944.0399319595062,1940.1999378943026,1928.5872258556492,1920.0697610997574,1921.303929061777,1927.952219066596,1936.1552436380944,1938.8906264237776,1931.567576283986,1919.6059934329598,1906.5137896218953,1899.1312711208213,1889.1079483924514,1867.6948673778093,1844.711889907456,1817.2858074015303,1807.4073843958645,1808.842589024255,1821.8693699893236,1831.199096847416,1846.0225275973357,1874.1692477248923,1914.9664622903094,1957.4034045520175,1991.9768918312614,2012.4994582035745,2020.8977653303577,2019.1332931441455,2017.3364540403375,2016.8774530500489,2026.2985177627277,2042.7540477079267,2064.8237160736508,2091.5604994525293,2118.9976802476244,2147.2095108610174,2159.030805227809,2157.0756443741234,2135.6996253369944,2113.445971032636,2096.5433807850504,2097.5522978930508,2110.100811908359,2134.1780031883754,2149.112337645036,2165.874577043991,2174.5763333757695,2189.3502826118597,2197.4777356203717,2199.495502353189,2193.8608194240032,2185.3217528482346,2177.4387133821438,2182.4599797524697,2199.0730081310426,2221.6070936416927,2239.655220645544,2256.1769243005083,2272.529158053017,2286.802850615858,2292.1804102796023,2291.4556519327207,2280.440297524809
394974,7,"Philadelphia, PA",msa,PA,1243.9063544766325,1248.6059003766939,1261.3696946966813,1266.5453335163004,1274.3831836250502,1279.7335735164625,1283.995086657999,1284.22947941723,1279.55391651493,1276.5892104769432,1276.6236847266412,1270.6854035337249,1272.353015349875,1280.3589668947425,1292.0784232726337,1301.611418866871,1308.0384186367116,1316.5636743176453,1317.8529474620468,1314.8966007532206,1314.6140811451003,1311.5826538564702,1314.5901376135364,1307.672237230188,1310.4169642252205,1315.2206324952253,1329.2295509278706,1337.5178972212839,1343.5842886947235,1346.577642175476,1347.349562794764,1345.1142664905976,1340.5326180841532,1336.447309460156,1333.89526617524,1338.2908921153232,1345.2983122295282,1355.112964278941,1364.8171898199143,1372.2087852322488,1378.9471172784454,1383.551435732734,1386.0871388734781,1386.4466950719373,1381.9892363263393,1381.223527301443,1383.3773974373928,1383.7775345426348,1388.780896011725,1395.6333532085334,1412.7164986044088,1424.1196494151181,1430.362944247759,1437.1502722097737,1440.9202797722057,1441.594929691645,1436.5495950706718,1433.2516029718622,1432.1563941757229,1432.9253309070298,1434.6844654202841,1444.8291953630678,1455.2560581850114,1457.7562040676776,1454.187724099962,1451.0432178107633,1453.9882127512394,1451.6651520184437,1447.3911461364446,1443.6157805518706,1441.0113115352308,1442.4845620591966,1445.1011237099171,1452.0380702790317,1461.983110779905,1479.1586647931185,1503.1641149197508,1525.263210170093,1547.186827106801,1565.3392766374943,1577.305608666794,1584.7158549639917,1589.8387046174114,1603.3039419272666,1611.508321616656,1624.1913857430602,1633.608609985444,1648.8050117973594,1662.9563336610922,1677.7598872680612,1690.417818525313,1694.8972383495118,1693.1932121649136,1684.6786012243074,1678.6943949868742,1674.6346955275706,1678.0697713391603,1679.0718844789901,1688.687270712982,1697.0847695444045,1709.7959165930201,1713.6490644040875,1721.2016188991875,1725.9681325071133,1730.710549871817,1726.639129833845,1723.1768086884117,1720.4138898473432,1723.179948003552,1731.6378138414907,1741.6549709181108,1751.8722180808422,1758.696328286769,1767.436081220694,1774.6254580147236,1779.7347964662463,1777.8554795227699,1775.9156419755145
394856,8,"Miami, FL",msa,FL,1362.8468247599262,1375.4880654863377,1384.3087283496127,1392.1833982214641,1396.334014527509,1398.1245704455823,1406.3330474452257,1418.0175744305654,1432.8066397999482,1436.905007921219,1442.4464780770966,1438.0868894986306,1450.3940126522757,1456.8298310198645,1473.3522507700866,1478.9932802267808,1479.4310232365044,1475.9045556195522,1477.4120474038314,1482.1653311813434,1492.4494626583353,1492.2098028859248,1498.1146818034451,1494.842930810963,1503.8702386899033,1507.456358525944,1518.1043051705026,1523.0326542522598,1525.8033703670258,1526.7077271853923,1527.4829105998012,1530.8673261622891,1536.6037224328122,1541.9744484857795,1545.7874610446556,1548.6035304424177,1549.7700257692322,1553.6725271117452,1556.3850805686209,1561.233812076201,1565.3645058370926,1575.8971940125816,1582.0678480918878,1585.9181818412028,1585.3830641165719,1593.730383692183,1606.2139323330184,1612.184645478732,1615.6340314919316,1612.4642652340451,1615.1407222226132,1614.6896941752814,1622.482726622566,1628.8609670559163,1635.8398305549351,1636.209985754914,1640.0315736392067,1648.6278065975023,1663.341350770853,1676.257045531689,1682.7776695425916,1684.1400178273248,1685.65596933082,1677.5072011412717,1667.8207376725024,1657.1773479020364,1656.650394210653,1658.0926908958913,1658.9035477357336,1666.9601617918572,1677.8641188163908,1689.8346215735992,1705.7216850405982,1725.2835717028674,1753.7396626434852,1781.462090911175,1823.3631393641222,1873.272392815091,1941.1208469761793,2006.4444064095333,2064.4578852908376,2108.875336289119,2146.031825632048,2184.296046709481,2215.7293444377883,2242.9045730913285,2272.8123251838847,2305.991314267772,2340.478156174858,2364.978669249258,2382.2426263502907,2382.0421662903964,2385.5672875280716,2382.6066767407838,2388.991297623893,2393.093397043403,2396.46292710824,2407.7919945652557,2414.901948461778,2424.029269625596,2425.4706347993397,2426.150557528121,2425.9785503115686,2425.9739060036222,2424.99333739124,2431.3213813339935,2434.8780477383602,2439.8542866332914,2443.2691615418116,2460.0594571529314,2471.0414446428476,2483.927440158109,2484.4300719781854,2488.807874507331,2491.8012445762197,2492.4825136158374,2495.970790240336,2493.4719279650776
394347,9,"Atlanta, GA",msa,GA,999.8189197475002,1011.3242656726871,1011.6297821220763,1032.9561707629634,1035.9073914413245,1051.1808859581033,1054.7240494739046,1055.9274816215122,1050.947553245738,1053.8994500894614,1071.4237997038852,1081.81588578901,1086.3558496423357,1087.3832519646376,1102.692845405742,1114.4207461903814,1127.2679445307726,1134.5473687955812,1145.335955256773,1148.5789564874106,1147.9593062573013,1151.576140385049,1154.9633895495951,1158.7613076949983,1164.7210658988436,1175.6526308676619,1187.1561700255995,1200.5331978201916,1209.8855161665338,1220.1280820064733,1223.3197886464677,1225.1349110708481,1231.0422225828192,1233.1729064361357,1231.8618808899316,1230.0688887715908,1235.6670201459324,1246.373586680579,1256.1760735699067,1266.1577032360906,1277.6226993791045,1286.653773884179,1293.593337042014,1298.6960498924411,1301.082354443196,1309.8722596013367,1311.7997385999793,1313.6541394917065,1316.913836279396,1325.4105644497595,1338.005886447672,1345.0065090412772,1350.346748016877,1356.9739272144486,1361.224628705513,1367.4925941797267,1366.2604802278697,1363.4792205613442,1353.2411124905373,1351.4319396096814,1355.2453709038623,1366.6980790707444,1368.956452338895,1359.3074785905978,1347.9769694867812,1347.5887009073906,1361.6493378631262,1372.2392110254477,1377.5571099968026,1377.8418384945783,1379.672754740872,1383.3439557536374,1390.825503426032,1402.9205861949413,1417.7456053577519,1440.124515407901,1472.0219139155847,1516.5805344803064,1569.0062828621583,1620.210981628948,1657.4626756909706,1678.6269368470298,1682.947818689602,1681.3175361757174,1678.485857514429,1681.6127530568358,1691.559375640099,1701.5152401687697,1718.870901397042,1739.117447839649,1763.158117157505,1771.0302630731899,1768.4003649841866,1748.1819724056338,1730.7444313184458,1713.4980366740974,1709.7209779418758,1714.0268740292092,1725.6411890453085,1730.945407204384,1733.7610524564086,1732.3871225391,1731.6528795582365,1726.268150942382,1719.2777654954891,1707.665976270822,1695.3301142409975,1680.2673993385513,1678.2071352551272,1683.1216026300892,1690.1190374573134,1695.4656121171395,1701.2731841000223,1704.3745741916284,1703.9281842608,1695.6690468112079,1695.3313090174372,1685.8771064558375
