"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11","2023_12","2024_01","2024_02","2024_03","2024_04","2024_05","2024_06","2024_07","2024_08","2024_09","2024_10","2024_11"
"United States","National",0,326569308,,,,0.0644013855240445,0.0649047009421935,0.0651181409714993,0.0651823103493071,0.0654857916137971,0.0656882612209839,0.0657778674543258,0.0666259307920306,0.0667802001513121,0.0659212973501761,0.0652288054899187,0.0642670420820398,0.0641826765182695,0.0650017694195577,0.0655318003275878,0.0654819405468526,0.0649595431303279,0.0643918736625675,0.0637323207890885,0.0626802236089137,0.0619623519042571,0.0613750438674736,0.0610390042763152,0.0615703321531744,0.0621334618112611,0.0627138933459847,0.0631412669027638,0.0631165972685279,0.0628587840390773,0.0623736499660267,0.061968915094419,0.0614507981129265,0.0611747536486543,0.0610852337675233,0.0612273835797412,0.0617424635696405,0.0622318541273364,0.0627648844825601,0.0633231994402017,0.0648799768224471,0.066670911854832,0.0678938440087139,0.0683505594484663,0.0675244609093676,0.0661576448997852,0.0649781924915267,0.0642964023917853,0.0638964215455462,0.0629258217579992,0.0615502363968323,0.0594664587213484,0.0557956278594742,0.0517395819652311,0.0473243383554424,0.0431239221675558,0.0400912443513429,0.0384959796636292,0.0382739509710419,0.0390222210662754,0.0404627312619544,0.0419246623994374,0.0434702884942769,0.0447339701019065,0.0455858948525716,0.0461681954331987,0.046589937035089,0.0474114895646782,0.0488047013672924,0.0507456601992584,0.0526772977274114,0.0544227657479971,0.0559115584893706,0.0569166738758161,0.0578964442184661,0.0587832342578266,0.05947465306904,0.0602368567473665,0.0608616220433852,0.0613068977361856,0.0619697725223088,0.0625674473565759,0.0631969923676484,0.0638683403960645,0.064425474294677,0.0651068561924363,0.0658481757491486,0.066206524452334,0.0666030205238383,0.0668169929795413,0.0668510994913198,0.0670912745949451,0.0670890840915101,0.0672506684053773,0.0675165118793276,0.0679055838880988
"California","State",6,39346023,"California",,,0.0473154356671018,0.0498512859065185,0.0498194047106323,0.0494046498961394,0.0500737339992809,0.0501603187590356,0.0505321872780232,0.0519200690574057,0.0528956714233916,0.0527273061804973,0.0530790885814699,0.0530335291757399,0.052840926840407,0.0526998350653514,0.052465923988034,0.0521455670421465,0.0519056696550371,0.052438097412888,0.0531229473481058,0.0532199850345043,0.0532686762113555,0.053119289284332,0.0526008124709971,0.0526544545226353,0.0526726225609265,0.0524548745236285,0.0528863755006025,0.0532247942648075,0.053747839427651,0.0543688146192315,0.0545483831043492,0.0543424635100678,0.0543032710338684,0.0543073036223448,0.0541774527694869,0.0543801099683869,0.0541130291725466,0.0538844087259888,0.0541646341967513,0.0559777968466769,0.0584308723977121,0.0611442700532782,0.0634845987367757,0.0644393797424193,0.0642326084919652,0.062744695107455,0.0609118452123424,0.0588344034858383,0.0568186739684273,0.0551759729106944,0.0533810028634226,0.0506876465292005,0.0475313215113401,0.0438800563831641,0.0397978284398768,0.0362086883364332,0.0340621734972054,0.0334375753956895,0.0339636152347947,0.0351530579320667,0.035950203278875,0.0363932795741106,0.0367360697355922,0.0368401463254895,0.0371737298775235,0.0375487347621007,0.0380548109799147,0.0392350409237299,0.0408260413861361,0.042475306138638,0.044266274378881,0.0458173436536601,0.046666576074361,0.0474183888875714,0.0478364170736722,0.0480301309221543,0.0486125365186926,0.0489884495726144,0.0489131710843362,0.0489291289973869,0.0492798920497571,0.0500112673832066,0.051169063311927,0.0519962150500179,0.0521596006388274,0.051966412503948,0.0516156983084,0.0517037739427918,0.0518226651035928,0.051911794139411,0.051836161485145,0.0514643177395311,0.0510668598995903,0.0509970871033615,0.051169650977025
"Texas","State",48,28635442,"Texas",,,0.0801480075909182,0.08086494713092,0.0815092931252539,0.0818294494791608,0.0823113184857136,0.0824711919727161,0.0825151724558142,0.0834049031471773,0.0820532200985698,0.0795864284428966,0.0773017694564859,0.0748099191784901,0.0751721387338842,0.0764276295009727,0.0770953751592011,0.0771390150824758,0.0767549671272039,0.0766878999186349,0.0767564445626325,0.0765427580373961,0.0767181436385085,0.0772078985046433,0.0778023319091857,0.0791113673609849,0.080245055363441,0.0810630384117677,0.0815211941582118,0.0813088167920409,0.0807422209598304,0.079673754696754,0.0786603417338296,0.0776798541281442,0.0770241381931501,0.0768404941522292,0.0771263480528567,0.0777757579848934,0.0785118649307795,0.0794405290463573,0.0801767798682174,0.0816615445218994,0.0830833237249938,0.0836722376886077,0.0836527907504093,0.0828879855691244,0.0817293450128354,0.081045574159459,0.0809398889016955,0.0811140036565789,0.0802492174951675,0.0784846253438017,0.0754050272231485,0.0700580360015106,0.0646098890337017,0.0588524673321521,0.0537383446981718,0.0501196600870955,0.0480336406492013,0.0474344019874428,0.0479409155625908,0.0491670632845143,0.0505743797611926,0.0524027992661576,0.0540872418465759,0.0556435963043879,0.0568366236680436,0.0576093188519607,0.0586333965780792,0.0600575936445329,0.0622860019992057,0.0645191864277815,0.0665732947079795,0.0684984875598165,0.0696077951095464,0.0708440093806629,0.072288162884768,0.0729091320471842,0.0738010473193372,0.0745531341553771,0.0749036291358051,0.0759494238893191,0.0767773825486916,0.0776454124720763,0.0784731257121502,0.0792755799688427,0.0806551255695396,0.0818694328480492,0.0821983358849326,0.082457975912791,0.0821800948586557,0.0820191474656495,0.0825702113158739,0.0828103582055877,0.0831526798149849,0.0834473984147465,0.0837994744342361
"Florida","State",12,21216924,"Florida",,,0.0682836683985732,0.0679970523860638,0.0687939684504987,0.0693060983100846,0.0708051434489301,0.0719824350252527,0.0716918814402641,0.071067024214411,0.069006058954846,0.0661884341961971,0.063402684628617,0.0609676418263209,0.0596158987488125,0.0600368625045915,0.061283656050789,0.0623927142061012,0.0630197122461812,0.0631478799020194,0.0627583664969844,0.061511147267075,0.060559957305362,0.0598989387171261,0.0592233160210904,0.0600493466922117,0.0608581672566191,0.0615219863303385,0.0625010619439723,0.063339481425494,0.0641162765867375,0.0644317923495999,0.0646429634057769,0.0641261042935406,0.0638849676676876,0.0638151198465311,0.0641597248353969,0.0650480147885235,0.0654004417664303,0.0660082204735319,0.066822951445427,0.0689336479615801,0.0711224347923442,0.0726017352890117,0.072529402127903,0.0710372138996172,0.0691645405915251,0.0672479031299,0.0659416325702037,0.0644797877733418,0.0622933834454136,0.0593155383295138,0.0557947129305195,0.050595727437656,0.044758561838284,0.0389264584700927,0.0336404530447221,0.0299246823022373,0.0284333762171209,0.0288773065695458,0.0303788496060625,0.0328400018471445,0.0353678809484314,0.0379229130955641,0.0404085373665903,0.0424938925672146,0.0444295542249798,0.0460131187319676,0.0475634610560313,0.049061420393656,0.0504732368473883,0.0513180466277594,0.0517479683342797,0.0520307773873816,0.0523247080773469,0.0534717573742362,0.0551064194113133,0.0569504978561836,0.0589425407207868,0.0606658903211009,0.0617564373360737,0.0631574767817293,0.0640372692330109,0.0646727394517671,0.0655681820947363,0.0659133124396806,0.0659270471299992,0.0660676411817821,0.0658373121590164,0.0662780370912624,0.0675788991530102,0.0689036001663085,0.0702568440108166,0.070603507638392,0.0704012791500298,0.0698097205593505,0.0692110965365764
"New York","State",36,19514849,"New York",,,0.0435404530805625,0.0527692447042479,0.0544152192362546,0.0550304404584573,0.0579099299467999,0.0573998991137339,0.0557934172847746,0.0544429687495088,0.0545855358129942,0.0512286107905676,0.0506456400838331,0.0504855809130665,0.0494839506359211,0.0506927933527601,0.0508430572889401,0.0505873410665539,0.0501880550163307,0.0495364306271938,0.048928356327027,0.0475386966323501,0.0460466150234735,0.0446951467461391,0.0439716084866276,0.044284866588138,0.0449614406428546,0.0455690514822072,0.0457950467137512,0.0451002902627751,0.0438910168835104,0.0433454737579273,0.04254216996485,0.0416935099362592,0.0409596416441587,0.0392592719694403,0.0381353302906163,0.0380842308758766,0.0379585859409831,0.0380295277874797,0.0376451030161028,0.0376797917696318,0.0409997004719165,0.0459678119488654,0.0509537227640137,0.0548510115196448,0.0552715270808415,0.0553575277854951,0.055085897687516,0.0549679264241243,0.0549789779622423,0.0539363799001389,0.0526435118420001,0.0500814298345458,0.0471597268460262,0.0431686683938275,0.0395286119318957,0.0369094414700249,0.0343335922866413,0.0327128061536142,0.0314608669392793,0.0307212364577175,0.0305126796780779,0.0307311948127332,0.0315470799933339,0.0324543235213604,0.032887737865303,0.0335715790211302,0.0350178753073064,0.0366193127865232,0.0392393290033195,0.0411580128863607,0.0425351303386554,0.0439363278577374,0.0452172748531952,0.0464871680580385,0.0462494825146649,0.0454794680703627,0.0439086701320684,0.0430534593374334,0.0429728944691062,0.0430268371730006,0.0436790876904845,0.0439419222919483,0.044093979650048,0.0445126351150033,0.0446243297561738,0.0450176481540894,0.0455804514290182,0.045946430092864,0.0473582313691924,0.0485468564239121,0.0497696432399032,0.0500496032382517,0.0492781028779571,0.0484777834442749,0.047580822261555
"New York-Newark-Jersey City, NY-NJ-PA","Metro",35620,19261570,"New York",,"New York-Newark-Jersey City, NY-NJ-PA",0.0430105300367738,0.0502511214546602,0.0516683232941133,0.0526031053440934,0.0564036108258439,0.0571938426491912,0.0567242264097821,0.0554597286289517,0.0534501656693965,0.051068946079732,0.0511628703069967,0.0523311391075596,0.0538041110641828,0.0547948594842385,0.0551444583222165,0.0552020560252646,0.055406320050443,0.0554163498228071,0.0550803010156906,0.0534367026883277,0.0512066045853798,0.0491373451883113,0.0473583217194757,0.0468231408843547,0.0466019923312952,0.0468948429635098,0.0474808326714719,0.0474297713848108,0.0475190142879982,0.0472385379976854,0.0463534797103395,0.045141210928839,0.0435863279680009,0.0415628197784688,0.0398210433641564,0.0391553562293586,0.038489308193181,0.0380902217530952,0.0377736322737593,0.0383824045327444,0.0409335174836843,0.0455405141979558,0.0503126297252839,0.0539836689007691,0.0554364527443071,0.0553650507981953,0.0546902527615794,0.0538426719298209,0.0527220869169556,0.0514096298428715,0.0499872192503929,0.0475046656405254,0.044962589146418,0.0415304539533041,0.0382435331688832,0.0356265183604057,0.0331963513677974,0.0314575543162035,0.0302900112967696,0.0292313618537699,0.0286556314264528,0.0284960146890961,0.0282874741726651,0.0284668823721555,0.0287975082759311,0.0292555594745649,0.030531214740933,0.0320679563433854,0.033935728308624,0.0353470875470682,0.0362661252186297,0.0370676873520231,0.0378107188028415,0.038271368786959,0.038466579401559,0.0388669533558784,0.0392818577718726,0.0404597918794388,0.0421176713206282,0.0429030954724025,0.0433903872619922,0.0432959561993536,0.0425706916199136,0.0429155516724495,0.042743724136622,0.042895775258828,0.0431861605929049,0.043204781521672,0.0444388965970773,0.0461050531620081,0.0478232993635789,0.048897915494723,0.0493074720963097,0.0493233713534123,0.0491587269800602
"Los Angeles-Long Beach-Anaheim, CA","Metro",31080,13211027,"California",,"Los Angeles-Long Beach-Anaheim, CA",0.0514052939410692,0.0546626890369442,0.0550192603402167,0.055106600154011,0.0567819112032387,0.0576119739102695,0.0579020525003099,0.0586181541700377,0.0587208812197249,0.0575836142648908,0.0578793685955784,0.0581937328044539,0.0580327160737963,0.0579974611147876,0.0580842319353293,0.0583224627272111,0.0592168849083713,0.0609442428216859,0.0619110154957849,0.0614987037413856,0.0606927420793591,0.0594741312980288,0.0581670463174444,0.0579985835762414,0.0579727707953183,0.0580285857421218,0.059279299640223,0.0599556410747112,0.0612125844070376,0.0622726169435562,0.0621430214999998,0.0612945683849884,0.0600234098255267,0.0582849447689867,0.0567288252668856,0.0566174087621135,0.0564442665188238,0.0575204620571129,0.0595812937521352,0.0631814319004573,0.0670248801862669,0.07014021283711,0.0723612720907182,0.0722931753616803,0.0708083607174693,0.0683280622866491,0.0655671328634642,0.0634395789581823,0.0619113780079026,0.0608877227492579,0.0597269882394217,0.0569857603007349,0.0533701055052037,0.0486516096490437,0.0430018290023475,0.0375261184261021,0.0337749910132782,0.0320781978428489,0.031941699347562,0.0330817951802929,0.0340506785157107,0.0348465976624068,0.0360146391080466,0.0371199345012374,0.038331372422753,0.0393491518256709,0.0398464832221834,0.0403453323564317,0.0410901014958507,0.0419790564005833,0.0435131900965561,0.0453451003505678,0.046656187909337,0.0478116190539323,0.048488001231917,0.0490238364554264,0.0499079593447467,0.050517140198859,0.0504767064843658,0.0499386728552448,0.0493105060556385,0.0490234151389289,0.0495164645277514,0.0502316702956176,0.0508908750432791,0.0513991914196952,0.0516441913111755,0.0519756977652552,0.0521712762604397,0.0525632518406637,0.0525884224442822,0.0521436956539405,0.0513124127963007,0.0510598855452214,0.0511089217241205
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.0519181582578215,0.049800243756162,0.049934840072113,0.0510312259491396,0.0527439960431488,0.0571562329286723,0.0605267557628525,0.0638466869103182,0.0664318757685301,0.0659588827935147,0.0656541647459273,0.064601470518385,0.0625804101052581,0.0618499251504682,0.0612777534599058,0.0608467304323292,0.0594823419101409,0.0579222340903612,0.055583653285461,0.052317403226336,0.0499280719178316,0.0485669540549395,0.0478409033025158,0.047692359493122,0.0481034393126017,0.047685480495494,0.0476512671170134,0.0483070315475318,0.0489311526829006,0.049437234731467,0.0498813689386513,0.0495047639235577,0.0498780915668253,0.0504075857921919,0.0518186079672498,0.0520077065522074,0.0517913697785641,0.0515108149823918,0.0508027494366217,0.0529101108949038,0.0566837959396181,0.0610087408045724,0.0646842152952244,0.0660504872699346,0.0650547253796393,0.0625898855601772,0.0599816096877644,0.0587601445049551,0.0582460552288785,0.0580065410871693,0.0572792852789715,0.054765809969473,0.0506423174670485,0.0463037827989083,0.0416779582698024,0.0376021959155984,0.0345216191245711,0.0327605265404827,0.0327059706655744,0.0338548462936024,0.0360521053927101,0.0383990573792314,0.0401400363077632,0.0413350245756414,0.0416847289288236,0.0416696203014238,0.0421092242449389,0.0431743251000903,0.0448860716242091,0.0468453811240091,0.0486129536099194,0.0498454183172636,0.0510231608623422,0.0517263246566806,0.0524591544067911,0.0535749664205279,0.0541356447345047,0.0549368938346134,0.0551289490653501,0.0543951705194747,0.0535692010109895,0.0529389430828599,0.0527196931343664,0.0536007747457169,0.0557655703716253,0.05773047082152,0.0594281783857397,0.0608538925099755,0.0610877919557842,0.0604046972343471,0.0594128128203127,0.0575948614910943,0.0557080186467708,0.0546586122168007,0.0538311587295061
"Illinois","State",17,12716164,"Illinois",,,0.0525276146038381,0.0517367045350149,0.0510610918151504,0.0515574508348935,0.0521790991111746,0.0539308305223429,0.0573773871320232,0.0619598727416761,0.0664077187352139,0.0696146771933032,0.0715870233287031,0.0718097084164801,0.071673125495393,0.072029104351964,0.072754752963863,0.071348986717676,0.0689947131218044,0.0669725863202358,0.0641686104328956,0.0635625370898241,0.0639804845893533,0.0638111830922967,0.0634748408968709,0.0632681359403865,0.0625855751010036,0.0615251022312993,0.0603376041445521,0.0582387154704579,0.0570647378148349,0.057350282952875,0.0584177898338048,0.0592690286847899,0.0599737732669637,0.0595302216908348,0.0586869186550792,0.0587881438382905,0.0583380012465279,0.0580547063246672,0.0585759434620376,0.0600660419965935,0.0637499744640539,0.0685510666343205,0.0728652628345026,0.0757512105988893,0.0759271384121461,0.0753350457439971,0.0735748847829254,0.0718848833493731,0.0700966245772667,0.0673600768268075,0.064663558967062,0.0606112230485192,0.0570608639522148,0.0539513291635558,0.0511459550486056,0.0487927825820937,0.046464352299548,0.0445554754268399,0.0432500309619506,0.0431219899573887,0.0435320171995382,0.0441693452257194,0.044906314832382,0.0451984882085942,0.0451035496168323,0.0452174341147152,0.0457229437999628,0.046465908193311,0.0473969387487393,0.0479090506689702,0.0480848287472725,0.0484981969192166,0.0483121727408598,0.0480803300506271,0.0477794344842842,0.0476122103813509,0.048581066352335,0.0500444534018094,0.0514665229267822,0.0526868926215786,0.0532820814048126,0.0530369243943186,0.0522176390778039,0.0514788291157739,0.050677647996741,0.050570587783892,0.0510765047617905,0.0518474005378044,0.0530752717612546,0.0541427705866445,0.0547705902966854,0.0542376238638478,0.0531789832764637,0.051709326996022,0.050795989464834
"Ohio","State",39,11675275,"Ohio",,,0.0912602215157402,0.0808049956339502,0.07647905198458,0.0733231471709865,0.0641305284475434,0.0592929463789632,0.0557857519319849,0.0564273854564858,0.0596963627759486,0.0607460541104256,0.0610766878042699,0.0583010127348681,0.0554398196257377,0.055899816143461,0.0551204488867596,0.0538867973665304,0.0515774530521059,0.048377225340729,0.0461996195522293,0.0443907768497263,0.0437048359776349,0.0440888259762381,0.0445186014356549,0.0458196661720142,0.046916245479854,0.0477080045734971,0.0488109768637788,0.0485971178932497,0.047728622385833,0.0465435612346713,0.0451552533031849,0.0439986818458732,0.0437703922694213,0.0441509308046852,0.0447429895901483,0.0460382567903359,0.0472421301067043,0.048052791487827,0.0485623999581591,0.0489332690029419,0.0489580288268954,0.0484144391753762,0.0476962031675286,0.0470903193254168,0.0463731884076288,0.0462012813677215,0.0465374054091712,0.0467032602859154,0.0465577316201514,0.0458361821207349,0.0443121691723463,0.0414167402080255,0.0382988793627499,0.0352529039476324,0.0328456237909532,0.0314624108995359,0.0310849178775334,0.0313005229124638,0.0314607994092176,0.032036307408238,0.0322667545995803,0.032967896679247,0.0339515831241439,0.0344598675901568,0.034930222331924,0.0347344752449895,0.0346878520042068,0.0359125826921585,0.0379351300589497,0.0403227004510651,0.0427214751703445,0.0443021389227031,0.04545239857123,0.0463870514271329,0.0466625324630088,0.0466578282104576,0.0463969106306314,0.0468404311407885,0.0482341670304279,0.050035819733946,0.0525452002723914,0.0549056233826629,0.0560450373665273,0.0567089319135885,0.0572876661184429,0.0578323532260203,0.0586143864023083,0.0588022850132229,0.0582250428113262,0.0574497970030618,0.0574012949430878,0.0583232702855986,0.0594117302274841,0.0603066926921609,0.0605787575727489
