"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11","2023_12","2024_01","2024_02","2024_03","2024_04"
"United States","National",0,326569308,,,,0.0644585211688906,0.0649651161134261,0.0651759717252333,0.0652385604821097,0.0655297000651344,0.065716389162411,0.0657923534807393,0.0666283902023774,0.0667763505868119,0.0659242761377058,0.065241416326207,0.0642887036057301,0.0642165662867987,0.0650362061271625,0.0655671208361047,0.0655196847700917,0.0649999263010341,0.0644366155281835,0.06377675756278,0.0627256046800588,0.0620112334749934,0.0614247413442273,0.0610907541868356,0.0616217481166401,0.0621850185913995,0.0627673367243208,0.0631964117911797,0.0631706878588885,0.0629067883389744,0.0624155355245148,0.0620072655384009,0.0614863692180921,0.0612115572666088,0.0611219836614497,0.0612627853641126,0.0617784077699005,0.0622693993687628,0.0628042441274294,0.0633641406272221,0.0649226596280132,0.0667122485820619,0.0679331035820355,0.0683903623625244,0.0675621337051044,0.0661878147145545,0.0650028280185216,0.0643130073695451,0.0639097652738294,0.0629433845243866,0.0615722188086416,0.059493821249068,0.0558263940875171,0.0517741155359028,0.0473629174162356,0.0431617817864855,0.0401272396677023,0.0385300625613069,0.0383060304221391,0.0390530151412315,0.0404924730075622,0.0419533779554071,0.0434959949472743,0.0447574212568042,0.0456085002514645,0.0461888470999212,0.0466103976091061,0.047437623389136,0.0488349406786688,0.0507846768148105,0.0527216371425379,0.0544699291384424,0.0559612140383108,0.0569665579136448,0.0579523129158941,0.0588451471126568,0.0595442610200668,0.0603162492533764,0.0609468501736163,0.0613937413603667,0.0620543181364493,0.0626521298834742,0.0632794417695833,0.0639499802936806,0.0645067756159351,0.0651841611063016,0.0659258118117214,0.0662910533940134,0.0667477478286524
"California","State",6,39346023,"California",,,0.0473154356671018,0.049874717933771,0.0498336302092223,0.0494143467333757,0.0500824536543302,0.050156325703292,0.0505282759118704,0.0519161397181415,0.0529025919609542,0.0527343050980277,0.0530861488977207,0.053050834606119,0.0528474828208533,0.0526985419630839,0.0525046941906667,0.0522132628529426,0.0520023111087529,0.0525801905708581,0.0532624835976906,0.0533556507823439,0.0534095318623837,0.053258373085348,0.052734105065956,0.0527833456854522,0.0528000325717887,0.0525782480439551,0.0530102888288651,0.053349802586922,0.0538647923292733,0.0544783694278711,0.0546502024302632,0.0544354854331609,0.0544012764549585,0.0544105295204637,0.0542850545631857,0.0544929749474787,0.0542240689794314,0.0539875978107939,0.0542610622456301,0.0560718481695334,0.0585234522280337,0.0612416441982662,0.0635860366279203,0.0645408312490597,0.0643322688892879,0.0628409032688933,0.0610102072715777,0.0589348753813282,0.0569157653063409,0.0552701135220738,0.0534659162251643,0.0507722867855572,0.0476316625522523,0.0440057048286728,0.0399407330113769,0.0363565401987762,0.0342022059098957,0.0335606531314969,0.0340782582090939,0.0352592678264321,0.0360498588334408,0.0364860147315012,0.0368112566137432,0.036901192637113,0.0372227531507202,0.0375867602004642,0.0380932407694872,0.0392748015467361,0.0408671065902682,0.0425178208061806,0.0443105757487663,0.0458628274368309,0.0467129677093359,0.0474662379639243,0.0478849864333333,0.0480792951175067,0.0486659282026777,0.0490468216245141,0.0489760535757667,0.0489963181793825,0.0493490444802464,0.0500807013985422,0.0512398267433876,0.0520678617796722,0.0522313042066625,0.0520397015261746,0.0516899184250788,0.0517329309053967
"Texas","State",48,28635442,"Texas",,,0.08015448685843,0.0808793306669511,0.0815353819977655,0.0818597330792721,0.0823097324757156,0.0824308171031119,0.0824363228278188,0.0832944059862826,0.0819617181141048,0.0795305947198632,0.0772786171828808,0.0748110957965917,0.0751776327932011,0.0764373982135359,0.0771037493419838,0.0771527175360693,0.0767809428635753,0.076707735867002,0.0767712286423938,0.0765525817286645,0.0767284416644103,0.0772224068589854,0.0778201986572929,0.0791292394538312,0.0802615371393688,0.0810799527837811,0.0815383908976259,0.0813219270988396,0.0807470059117249,0.079673366362118,0.0786624379819369,0.0776894081500888,0.0770466793628895,0.0768668047498111,0.07714609093295,0.0777858676018604,0.0785136403277001,0.079440998945404,0.0801815721898418,0.0816786755209133,0.0831080013327547,0.083703061833212,0.083690897196697,0.0829235004680856,0.0817634755471595,0.0810734411789909,0.0809658518034062,0.081152612141866,0.0803053145521423,0.0785625394770792,0.0754956770809206,0.0701428960616944,0.0646859135611587,0.0589149645328298,0.0537843493427154,0.0501562643525144,0.0480623372635262,0.0474589649009489,0.0479708941760009,0.0492038685525729,0.0506184795201282,0.0524545897435642,0.0541411302692445,0.0556992084001178,0.0568853971945552,0.0576527308866534,0.0586773797829913,0.0601006342263998,0.0623336397838448,0.0645615012796687,0.0666041816812048,0.0685236973941565,0.0696299859946718,0.0708765744886148,0.0723317566653615,0.0729582093860344,0.0738556211421055,0.0746116966262961,0.074962464592052,0.0760143627581856,0.076843561914817,0.077707673852775,0.0785310474077437,0.0793292125655527,0.0807145331356885,0.0819352799447498,0.082299313044408,0.0826322127517985
"Florida","State",12,21216924,"Florida",,,0.0683384592121218,0.0680494914716141,0.0688456370574303,0.0693566648665456,0.0708536967344338,0.0720295238814571,0.071737044211593,0.0711104534956721,0.0690470867230478,0.0662269894039641,0.0634383874438114,0.0610005492687872,0.0596468044842919,0.0600692035164306,0.061315379126047,0.0624240492821418,0.0630503344968349,0.0631749704235811,0.0627931375408996,0.0615539623564409,0.060609018181928,0.0599518872066417,0.059271355496591,0.0600823187944209,0.0608772119627905,0.0615261007120575,0.0624965291606739,0.0633335641672427,0.0641025342750783,0.0644161580189204,0.0646197274495521,0.0640994718514171,0.0638588898710769,0.0637869977973849,0.0641295729572238,0.0650142639998197,0.0653713032213331,0.0659823666849226,0.0667990432549536,0.0689089463403051,0.071095234912383,0.0725767185543174,0.0725118407461638,0.0710313916691131,0.0691662808870828,0.0672546255166793,0.0659486747694801,0.06448571946963,0.0622969042370067,0.0593138512402522,0.0557887357936863,0.0505858597253827,0.0447503607812307,0.0389201454411463,0.0336356302764653,0.0299186202301877,0.0284217597698843,0.0288606137840902,0.0303565234284901,0.0328191334243432,0.0353494838491506,0.0379109400470057,0.0404029078981177,0.0424884773845878,0.0444273339002855,0.0460120183504507,0.0475689020747601,0.0490757294334727,0.050486259448525,0.0513333103072788,0.0517715916184643,0.0520626721985054,0.0523837792394604,0.0535995985434049,0.0553022964339906,0.0572025286331606,0.0592300783253358,0.0609305994826273,0.0619773289109264,0.0633164821353897,0.0641532108536567,0.0647297011863594,0.0655779127540671,0.0659061881156004,0.0658940272672085,0.0660442778445686,0.0658217703376679,0.0662606902446364
"New York","State",36,19514849,"New York",,,0.0435404530805625,0.0527692447042479,0.0544152192362547,0.0550304404584573,0.0579099299467999,0.0573998991137339,0.0557934172847746,0.0544429687495088,0.0546924944528995,0.0514250857411283,0.0509331749641476,0.0508664370808806,0.0498476970502865,0.0510567914001499,0.05119841682966,0.0509296459999953,0.0505221931739345,0.0498547880585285,0.0492335518112604,0.0478262240981536,0.0463160773318494,0.0449536963469601,0.0442247508357472,0.044540794443857,0.0452192546576417,0.0458250860463403,0.0460478571756183,0.0453380386943996,0.0441117699701709,0.0435534350707604,0.0427362297730734,0.0418808949921523,0.0411412091704309,0.0394264278977415,0.0382887917985621,0.0382284569311513,0.0380945578500794,0.0381632204403374,0.0377744778589299,0.0378065988890249,0.0411380544984201,0.0461275775641394,0.0511315093491275,0.0550432058505433,0.0554644984057264,0.055557829601892,0.0552967650942664,0.055188200668866,0.0552072860982461,0.0541576617201213,0.0528554859725428,0.0502806527255724,0.0473443080732879,0.0433351999795429,0.0396807757854951,0.0370492631862323,0.0344619830627308,0.0328330662467567,0.031573708765052,0.0308302003374969,0.0306193266481486,0.0308379291631983,0.0316577990177357,0.0325697172608344,0.0330057289115138,0.0336925302826242,0.035138762973846,0.0367569490877662,0.0393996169599342,0.0413377771897688,0.0427376159769194,0.0441452840016061,0.0454293819199367,0.0467062045098325,0.0464562609556325,0.0456716482388912,0.0440855265323211,0.0432160518511491,0.0431432243971146,0.0432171700561849,0.0438963756571452,0.0441834588637708,0.044356545182869,0.0447869601164049,0.0449040969666421,0.0452992850254215,0.0458692838593279,0.0462637434466566
"New York-Newark-Jersey City, NY-NJ-PA","Metro",35620,19261570,"New York",,"New York-Newark-Jersey City, NY-NJ-PA",0.0430105300367738,0.0502511214546602,0.0516683232941133,0.0526031053440934,0.0564036108258439,0.0571938426491912,0.0567242264097821,0.0554597286289517,0.0535231511637606,0.0512165743488072,0.0514034182273468,0.052667473650291,0.0541634888136005,0.0551747795464811,0.0555230493187289,0.0555738209282115,0.0557735640797288,0.0558058708562126,0.0554252412343472,0.0537302624175266,0.0514382744649275,0.0492902072296419,0.0475132714650276,0.0470042554258207,0.046842681827125,0.0472328064584415,0.0479005859245457,0.0478941171371499,0.0479864368101202,0.0476653520817869,0.0467416701441602,0.0454839851335097,0.0438910094053786,0.041825478556051,0.0400431287212134,0.0393747389814416,0.0387175949641982,0.0383252245568791,0.0380092423563282,0.038623209539934,0.0411972054719874,0.0458466585327759,0.0506738604398496,0.0543756607877085,0.0558363983450245,0.0557340859375811,0.0550102859026055,0.0541372825662077,0.0529869307122738,0.0516485170088812,0.0502112734217674,0.0477077885804788,0.0451314880824705,0.0416807883235648,0.0383758409773237,0.0357323296428868,0.0332940477006527,0.0315492192102182,0.0302197767663465,0.0290081024095806,0.0282865595300418,0.0279936675102144,0.027826793367634,0.0280724148222836,0.0284987506535112,0.0290643637684686,0.0304823950367722,0.0321322433096361,0.0340808601247872,0.0355482787363749,0.036471335018374,0.037275764690593,0.0380209112756009,0.0384906330334399,0.0386876704756813,0.039100160192855,0.0395287677407986,0.0407257198629677,0.0424100346926451,0.0432099151548254,0.0437050084081916,0.0436045809375128,0.0428754372618545,0.0432287149989427,0.0430650016345802,0.0432322886649254,0.0435414838488256,0.0435760618062339
"Los Angeles-Long Beach-Anaheim, CA","Metro",31080,13211027,"California",,"Los Angeles-Long Beach-Anaheim, CA",0.0514052939410692,0.0546626890369442,0.0550192603402167,0.055106600154011,0.0567819112032387,0.0576119739102695,0.0579020525003099,0.0586181541700377,0.0587208812197249,0.0575836142648908,0.0578793685955784,0.0581937328044539,0.0580327160737963,0.0579974611147876,0.0580842319353293,0.0583224627272111,0.0592168849083713,0.0609442428216859,0.0619110154957849,0.0614987037413856,0.0606927420793591,0.0594791936363294,0.058167598610381,0.0579947448261076,0.0579645259734774,0.0580108841233552,0.0592616273577136,0.0599380436376645,0.0611950092023587,0.0622551262195589,0.0621257984631266,0.0612779811833213,0.0600075287079713,0.058269844511868,0.0567144518565058,0.0566031752498215,0.0564301647456602,0.0575062283089704,0.0595667527145655,0.0631711075643402,0.0670187766407034,0.0701384426770685,0.072363951257242,0.0722958127724114,0.0708109085358904,0.0683304898854736,0.0655694324829518,0.0634417820034846,0.0619135117238528,0.0608897983401915,0.0597290084381634,0.0569876674364154,0.0533718773140652,0.0486532075939397,0.0430010286992433,0.0375228056789964,0.0337694269548212,0.0320696106875148,0.0319320252062533,0.0330713589081219,0.0340388088493119,0.0348339971975301,0.0359984449578269,0.0370998664887821,0.0383078867836267,0.0393219640844852,0.0398188828105906,0.0403180498761347,0.0410621351121047,0.0419505764439402,0.0434842812169711,0.0453143021810164,0.0466249008431557,0.0477816043900116,0.0484583600014757,0.0489950729576923,0.0498805606809494,0.0504933129785699,0.0504558748481331,0.0499205895132427,0.0492958321589955,0.0490067632802819,0.0495001965434034,0.0502159562794092,0.0508739112539677,0.0513866736579156,0.0516350345249083,0.0520064257563928
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.0525477435961307,0.0503521154704206,0.0504657183434611,0.0515575778086196,0.0532321320880391,0.0576486356203828,0.0610141888268549,0.0643273698419765,0.0669094007079858,0.0664166355499381,0.0660899058335833,0.0649157685824163,0.0627786856415045,0.0619451667003746,0.0612777534599058,0.0608467304323292,0.0594823419101409,0.0579222340903612,0.0555836532854611,0.052317403226336,0.0499280719178316,0.0485669540549395,0.0478409033025158,0.047692359493122,0.0481034393126017,0.047685480495494,0.0476512671170134,0.0483070315475319,0.0489311526829006,0.049437234731467,0.0498813689386513,0.0495047639235577,0.0498780915668253,0.0504075857921919,0.0518186079672498,0.0520077065522074,0.0517913697785641,0.0515108149823918,0.0508027494366217,0.0529101108949038,0.0566837959396181,0.0610087408045724,0.0646842152952244,0.0660504872699346,0.0650547253796393,0.0625898855601772,0.0599816096877644,0.0587601445049551,0.0582460552288785,0.0580065410871693,0.0572792852789715,0.054765809969473,0.0506423174670485,0.0463037827989083,0.0416779582698024,0.0376021959155984,0.0345216191245711,0.0327605265404827,0.0327059706655744,0.0338548462936024,0.0360521053927101,0.0383990573792314,0.0401400363077632,0.0413350245756414,0.0416847289288236,0.0416696203014238,0.0421092242449389,0.0431743251000903,0.0448860716242091,0.0468453811240091,0.0486129536099194,0.0498454183172636,0.0510231608623422,0.0517263246566806,0.0524591544067911,0.0535749664205279,0.0541356447345047,0.0549561499381557,0.0551694718137727,0.0544568343867574,0.053651337490464,0.0530228436065047,0.0528409187906312,0.0537603966795734,0.0559691536937865,0.0579789147331717,0.0596784401571908,0.0612226651205786
"Illinois","State",17,12716164,"Illinois",,,0.0525276146038381,0.0517367045350149,0.0510610918151504,0.0515574508348935,0.0521790991111746,0.0539308305223429,0.0573773871320232,0.0619598727416761,0.0664077187352139,0.0696146771933032,0.0715870233287031,0.0718097084164801,0.071673125495393,0.072029104351964,0.072754752963863,0.071348986717676,0.0689947131218044,0.0669725863202358,0.0641686104328956,0.0635625370898241,0.0639804845893533,0.0638111830922967,0.0634748408968709,0.0632681359403865,0.0625855751010036,0.0615251022312993,0.0603376041445521,0.0582387154704579,0.0570647378148349,0.057350282952875,0.0584177898338048,0.0592690286847899,0.059971520491293,0.0595314867347882,0.0586896638987454,0.0587921875728794,0.0583448495242444,0.0580511206569396,0.0585651599765586,0.0600499623555863,0.0637292365610592,0.0685395419509334,0.0728700734819517,0.0757672693763682,0.0759361001709293,0.0753363464671908,0.0735607016645882,0.0718632555260202,0.0700916220986787,0.0673651398580995,0.0646940690555457,0.0606745649794485,0.0571223422689027,0.0540174978895667,0.0511859390408823,0.0488121246129703,0.0464841128880305,0.0445642889793596,0.0432653788684963,0.0431251110774689,0.0435310038687284,0.0441731590196785,0.0449073811225252,0.0451858723110285,0.0450784233586864,0.0451721633499851,0.0456737954826909,0.0464278164891163,0.0473720405685673,0.04790301002771,0.0480828191487326,0.0485003107728094,0.0483174106233116,0.0480925197819769,0.0478052615265387,0.0476530994147421,0.0486313501126564,0.0500889843466002,0.0515020030806082,0.0526987678769356,0.0532830821410896,0.0530326077501246,0.0522074227897481,0.0514730551729825,0.0506697043297852,0.0505647773655048,0.0510736709322124,0.0518376956214572
"Ohio","State",39,11675275,"Ohio",,,0.0912602215157401,0.0808049956339502,0.07647905198458,0.0733231471709865,0.0641305284475434,0.0592929463789632,0.0557857519319849,0.0564273854564858,0.0596963627759486,0.0607460541104256,0.0610766878042699,0.0583010127348681,0.0554398196257377,0.055899816143461,0.0551204488867596,0.0538867973665304,0.0515774530521059,0.048377225340729,0.0461996195522293,0.0444173612739092,0.043756028781325,0.0441657133339248,0.0446205782934734,0.0459344517756323,0.0470408456671192,0.0478392695109098,0.0489481419323353,0.0487189792477625,0.0478363664860796,0.0466385755195281,0.0452365305693136,0.0440731734834257,0.0438438138355206,0.0442298805843419,0.0448236027644859,0.0461194412200124,0.0473228611064173,0.0481254737276115,0.0486351584624306,0.0490096604113194,0.0490409351448357,0.048499284708965,0.0477805171772921,0.0471725502176515,0.0464480506498626,0.0462744462987321,0.0466077893398102,0.0467753352338276,0.0466281107598685,0.0459061012040819,0.0443797141649802,0.0414761049185303,0.0383561989299855,0.0353123799637443,0.0329106429471818,0.0315333410126769,0.031162041698241,0.0313786430539474,0.0315399711680252,0.0321177164898589,0.0323488122123696,0.0330518310633563,0.034015617094007,0.0345247210717011,0.0349959475068659,0.0347989612034799,0.0347788691063355,0.0360001558850446,0.0380190983846797,0.0404053939443575,0.0427971496208338,0.0443793276201812,0.0455323044927645,0.0464693199633419,0.046755237743151,0.0467593047266868,0.0465379191839794,0.0470293223418916,0.0484792921695958,0.050342206677208,0.0528822417420447,0.0552042993060851,0.0562859059041493,0.0568874983960259,0.0574037629900834,0.0579512447900148,0.0587353365792512,0.0590043284976206
