RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30
102001,0,United States,country,,1228.8778149809868,1236.5409369040644,1247.7001306457353,1257.5542605481537,1267.8461425707671,1276.135528824333,1283.4518718816826,1288.0147113580026,1290.4621295445254,1290.8359549183938,1289.4194761030424,1287.880518389616,1290.417640006061,1296.0445389298711,1303.5788290878963,1313.966858613594,1324.710799880095,1334.9137148740256,1339.3244371763437,1341.9861226274234,1342.3961493230258,1338.723767347194,1334.0622912437118,1330.0286536235433,1335.1785771282168,1341.9424303271317,1352.5160047238166,1359.8666293353517,1369.1746076316626,1376.1808191085313,1380.44990774509,1381.2324412458463,1379.405192554447,1376.1878637764949,1374.1959903496681,1374.950748127127,1378.9970967516842,1386.416397518831,1395.3138538299947,1405.350149242156,1413.7480943458975,1422.2846173114153,1428.388010192315,1432.1110580168834,1430.6407861084783,1427.7638249713982,1426.1127779260257,1426.1528804860711,1430.4967426466278,1436.4117350877864,1446.4378738786115,1455.3837272940407,1465.0560656731507,1474.0859243571847,1481.290656002406,1484.7580650885134,1483.657503242876,1480.197353913657,1476.9309919580694,1476.6753092578617,1480.6313369923453,1488.4012964275046,1493.5418208454691,1488.4991606319293,1480.1832188196397,1474.6851159249145,1475.261087291707,1471.6694558808776,1463.3621651968315,1454.9589901772724,1450.1493993643478,1448.889634602661,1453.6906292407512,1462.0688834326095,1477.333373537726,1498.1129929928675,1526.5796427946173,1558.8591036894497,1592.6780286203416,1623.1892950878278,1647.658745958164,1661.3398064327935,1669.5749323344405,1677.1070003089312,1686.669516375853,1699.2809687342667,1713.2713060764213,1732.7148060905793,1756.5134372981063,1781.3255897068914,1802.191533782139,1812.1865584878105,1813.1487438996844,1804.606355736856,1794.8912965504992,1787.8227700761738,1787.5188158084784,1792.2399496861547,1801.8221508798563,1811.5075643023054,1824.0834518934153,1834.3417375649865,1844.5438989066452,1849.1910007131464,1849.9350654162533,1848.3144086090163,1843.1300988372868,1838.0390752570052,1836.1873284246012,1841.248095862866,1850.5886656959754,1862.2687479577155
394913,1,"New York, NY",msa,NY,2324.3827179031978,2339.7802482970465,2357.5325424561966,2381.5905302463298,2401.4642748493743,2422.0863231866924,2434.929471543074,2444.9515260142634,2448.5738321676995,2446.3466093768557,2435.1032963401367,2421.8005742603414,2415.5562054118086,2417.6921647816434,2427.400006907095,2441.9478095241316,2460.0849785905543,2479.0023629990105,2492.6425953903595,2499.5632201231924,2498.8035451822816,2489.1551119264063,2476.2162045478053,2456.987212113719,2452.601200076156,2451.3837855372835,2465.6994186985853,2477.8494335742876,2498.488689536596,2515.951455248233,2528.4748559018826,2531.629697272163,2524.694856579702,2508.2975715689195,2490.693323112273,2477.984551946386,2474.8612507662933,2481.5627592433166,2495.492275868136,2517.3635532957815,2537.5586397732563,2557.102714667297,2570.9406799689204,2580.1056520339894,2580.434605000626,2569.4313910328533,2556.6645913145453,2545.1715547988915,2544.8946287073227,2553.415282443288,2566.644579626806,2585.943848713097,2607.86305709963,2632.8170507214836,2650.5014819069015,2660.949150071503,2662.1402935208657,2654.0352750389684,2639.9302215695875,2627.5147257072576,2627.6975158933783,2640.7220713583984,2650.0937831086226,2639.568314400799,2617.5372369586944,2590.5225402614346,2562.023106989375,,,2403.6515353667733,2368.3196263415107,2351.3911783519293,2347.479132997406,2360.61518607796,2384.9561441754013,2418.33085361285,2465.8068607679,2524.8141204437925,2592.071654889513,2656.3225139557853,2709.582299931336,2742.2340715961786,2766.192065906906,2783.3957662197945,2808.6789981335965,2839.475213147291,2878.164787331097,2920.449676642929,2976.232086162082,3037.2860060277126,3091.2673602952045,3120.8862271391517,3123.343578873251,3103.0099032078547,3068.114894162689,3044.186734147714,3039.1402497790546,3050.936210791723,3072.7579429205093,3103.8647549049188,3143.036769800094,3180.301399437524,3207.7330023872732,3218.9201072996348,3219.7016032361817,3204.5985135976925,3179.128557887379,3154.799169876967,3154.253327134158,3170.620601761505,3201.8964992150263,3231.5469394203064
753899,2,"Los Angeles, CA",msa,CA,1707.3409573930937,1721.0604844845864,1738.7709705156449,1756.2419295651957,1767.4205784773826,1775.8284181687013,1787.7222504470203,1802.9551720961158,1818.6414541195682,1827.1702765659954,1836.8128996866997,1843.2863744563545,1853.1350052634923,1864.565525662782,1876.857287105605,1890.3201824028893,1899.8736599705796,1909.7443663347867,1917.6184448911927,1924.18713644178,1930.1598351524408,1935.0827365588475,1943.541306281106,1951.5328159276733,1971.6586469408549,1990.6945062551172,2014.306779037637,2026.76481202247,2037.0618070935084,2046.7509421165898,2056.775253043781,2066.614826377323,2071.1646477159543,2070.748830737163,2072.61541188024,2077.7781377954043,2089.0952090280407,2101.0149127128175,2110.464846826049,2119.260246915959,2125.5239339879304,2137.3513859536547,2148.7706409237567,2162.9015116117603,2168.8720811723747,2171.253091950934,2171.0563849070036,2173.816930762595,2177.178145035368,2182.774527602328,2192.890253777981,2205.0053826283747,2212.629427146241,2222.0640093817865,2228.5991959047024,2239.2190639585488,2243.8789544455394,2245.962434089705,2246.0592892824047,2246.443950146401,2251.192505309594,2252.820354915831,2250.825400822435,2234.906573146645,2218.495492292254,2204.8314511763947,2198.9246965314496,2195.8159518670254,2193.2469735705886,2193.556924500179,2193.0640713678854,2191.1203727656757,2193.8287908022294,2198.9151984887244,2209.3078946222104,2221.019506131883,2241.1753813864257,2277.663515490615,2326.5611893199475,2382.3046249261415,2423.5257486303294,2451.406029515831,2463.846547724058,2480.5551098676574,2495.4125734250565,2518.5069051005185,2539.737904583992,2566.237833206484,2592.428562838407,2615.830238083469,2638.1987538723793,2655.7185975496486,2662.810459416144,2655.1818689268684,2640.677520341625,2630.491014287936,2625.124761860004,2630.4783459027853,2639.2499481312,2650.1256724950563,2656.274440302146,2662.6770294530165,2675.7435628260705,2686.2993720764925,2690.1774475489347,2689.728639018902,2677.1919947737083,2665.3786106761604,2661.4097578506653,2668.892976177463,2684.623913033016,2692.869143894517
394463,3,"Chicago, IL",msa,IL,1444.0855668000288,1453.1203005567033,1463.3096916073926,1471.9426956660486,1482.9021032855403,1494.4062383724765,1499.4095211905992,1502.7794024431207,1495.9798294742827,1488.9266462747235,1481.2289074517291,1480.614492619298,1492.4886246672058,1502.5698217362822,1517.254244604536,1524.5531351167854,1537.1400260910343,1548.801044409714,1556.864207738918,1559.7540790736568,1550.4231111266954,1534.4438074832349,1515.4306890508542,1504.4306969129013,1513.8587422520216,1533.357473849961,1556.2144896718669,1568.3702203365099,1579.7193728967698,1586.4161636504525,1587.4922226742312,1580.560419476913,1571.3830394508886,1560.6205540234928,1553.0214773696332,1551.8207965986524,1560.5650230483134,1573.166927958942,1586.8540163146827,1597.4368609196401,1608.7355999090257,1617.9312680877683,1622.0053856622528,1618.032562963961,1604.7764915497914,1591.6143524261522,1583.8487842859406,1588.14086798993,1598.278952428489,1610.2253201887295,1625.058228511769,1639.0762619742106,1651.7597718129743,1658.4518972387432,1661.3283865391859,1660.6793925734273,1655.5736486103067,1646.3871105994574,1637.1579976993216,1631.2578256040938,1641.4776500757043,1655.1737998435285,1669.6268969481046,1668.5696449161114,1664.389791471061,1658.4669958920488,1655.1528164087672,1646.5024381149476,1629.6122092680089,1605.1602169924515,1587.4282783671356,1577.044208900917,1576.34647703607,1584.6425478921515,1604.9505351287787,1635.6824189035758,1665.4775776279196,1690.2116856436146,1708.8156900801353,1720.7156213023009,1725.1723303598678,1722.169579531797,1721.5097721626912,1728.15263443034,1743.981854209786,1762.1319838709198,1784.2105075135364,1807.9837154910294,1834.090192372912,1854.4357118536893,1872.7595408164036,1878.5442300356779,1879.4636022477707,1874.7161064195593,1868.2074789751114,1866.1531827852366,1871.372785181208,1886.2422625176414,1904.2345519213548,1922.2261160502992,1945.0628238839322,1965.8194378981618,1977.9108855460574,1984.3828932535598,1979.262000056898,1970.423410905339,1958.5599127593723,1960.1916753981636,1969.741123939664,1986.1603340214208,2001.4480027932718,2023.3958971966902
394514,4,"Dallas, TX",msa,TX,1044.2387899669848,1044.5351610552016,1051.2065722201448,1056.6634054024194,1065.5098396297049,1076.1581679372475,1086.2193912409923,1088.5952421483887,1090.9855179281012,1093.8120922337641,1102.1745464768476,1111.9994269670995,1110.6142338383384,1111.6345968902456,1122.2847615646244,1140.1856218540997,1149.019831666515,1150.3312765320127,1148.7103901230744,1150.2532414150671,1152.3025553853852,1155.8132958510323,1168.0814246783107,1169.7755016442295,1181.9161105724108,1181.8842151322726,1197.779544596802,1202.303148426042,1220.0242331861552,1225.8652007453907,1232.5242603645036,1232.4309654531232,1229.366535759587,1222.5517408991236,1223.616885047151,1221.280793103797,1227.9687130072011,1232.3491061436412,1240.9123657392777,1245.6661152723436,1249.7399443085044,1258.9526680304903,1266.2077691273596,1267.0021705136546,1259.1496390480033,1261.4504392418125,1261.408145300286,1264.4225789454238,1262.5813296691301,1265.8163016765668,1277.2876339513664,1285.195113558426,1292.6114357270249,1300.6187283912295,1306.3666734819851,1309.5804025193024,1307.43729660783,1304.0603624581508,1298.6377277987308,1291.7523104145807,1290.818982956211,1295.9304165139554,1302.2224238293006,1301.1556132806304,1294.7237667340744,1291.3189692732972,1291.6412281302921,1294.6088803794983,1296.079878947068,1297.117805027655,1297.5014945558503,1298.8070743077374,1299.6366773577297,1303.5077888001467,1311.8287142391443,1331.6672060698618,1359.09021355455,1392.2947813866422,1426.6148603695087,1458.326056028217,1482.4820242171033,1495.399094911138,1506.1194322081153,1515.5843582785092,1527.1091204777047,1538.622688813104,1548.5714286710258,1568.1378734009597,1590.5144006285554,1621.18050958016,1643.2306423875925,1650.2006937451158,1643.5437131499748,1625.0961793081558,1610.9964980178052,1597.8161847793403,1595.19773555876,1595.3778433155198,1602.75751730076,1605.1412854099644,1610.9412382968271,1614.6106530632453,1620.8139030148404,1621.4504603861192,1617.3271989701198,1612.2982600411774,1604.6864589030597,1595.1766664528939,1587.1242056217686,1581.5841569184581,1582.5909952855698,1585.0370202620604
394692,5,"Houston, TX",msa,TX,1168.4783365799897,1170.210654937716,1161.4840384610013,1169.9643464378858,1185.9286504951697,1201.3814523660233,1212.2896854157682,1212.545915633488,1216.1187548676019,1204.6765054411837,1199.089655635374,1200.4324422603083,1201.7497047220797,1208.2714797033525,1222.951691736298,1241.3044824151164,1244.1266258953062,1236.3145719511945,1228.1471687301882,1220.0603180757641,1219.676582068128,1207.5378471597908,1210.9275291418444,1203.628901104499,1214.7429622357722,1224.8516251714534,1230.1599967241636,1223.2033498933315,1229.2108540335591,1226.1704228848566,1226.8750653738555,1212.8034695206065,1221.7692760920415,1234.0479592276427,1256.8946709508161,1275.1967053047545,1277.2218890439674,1280.4241751729228,1273.3036092589962,1284.0076682452773,1280.57587998595,1282.8377026677917,1280.7587143254884,1279.6483387323,1274.9608365068914,1274.072466551798,1276.3105205568675,1275.1776384999196,1273.7385540455405,1269.5363392768506,1274.1110870428465,1275.8338906647225,1282.906730720631,1288.660867822735,1293.2975943266651,1292.510547499789,1286.2555958098862,1284.6641075014531,1284.0934996383494,1289.4541337507014,1289.8058867450147,1295.193050106259,1297.3378337509957,1290.0796706526103,1274.4272885130042,1261.8333020586786,1261.5196563480279,1264.5532316701592,1262.6363955380846,1262.6329470712426,1264.1832821094642,1261.9152066338838,1259.6814331736737,1253.68381151732,1261.4050593021116,1272.9728382110052,1295.4493415305233,1322.3847323904204,1349.7394996238663,1372.2300272001946,1384.122519057362,1388.7970891036555,1391.679269078296,1393.4463497127965,1399.2604712152072,1405.6297384580816,1415.4998696304403,1426.4985850060752,1438.784033003621,1452.753182674293,1462.3973246034675,1467.5929476295692,1463.340568514144,1456.8479946852426,1448.6309554768934,1444.4994393472261,1447.4387910248977,1453.8522298363298,1461.9463489587831,1465.55671406235,1472.8427760545767,1479.1145151241049,1482.9899229920393,1482.5676028415196,1477.8511222953243,1472.0807919994058,1466.6917922728517,1466.587583470876,1468.0698617211456,1468.2916853376062,1469.0411276735392,1475.1325629737867
395209,6,"Washington, DC",msa,VA,1736.217481650291,1724.7813108062771,1723.0341096381285,1730.5390281789582,1757.2625890336988,1772.2875792597179,1779.415770585262,1775.6190343238839,1784.4448143939696,1786.6080593724862,1786.2053087462668,1777.9350445673838,1771.1538457170734,1765.9984901762402,1767.7825741950853,1788.1680191914916,1805.439396573779,1815.8367485917227,1811.9143466156752,1812.6505137584718,1813.9603405712041,1804.9005874679701,1796.5442243318703,1790.0281133462267,1800.2770310690075,1815.819819500285,1827.2047440907895,1833.5423856416419,1835.6631489793963,1849.2242508467673,1854.0851164484534,1854.962801990594,1846.4501830162028,1842.3729221704218,1830.2182473385433,1819.8065332225096,1819.3410460881817,1826.9959662925658,1845.4252358391354,1858.392966326391,1871.268479128565,1882.1089353771017,1890.106810041178,1895.890449762849,1891.2526348880256,1884.205496659526,1882.512894889857,1884.190154964821,1890.123821649297,1891.8722373291284,1899.2534162607028,1908.725751369475,1925.2942476716335,1938.5560349847897,1946.5766242118284,1945.4110195159028,1941.0091223390061,1931.1444063319266,1922.0634197233785,1923.859280087776,1929.4110892929054,1937.5345279083404,1940.9273689837855,1933.3421789283602,1922.040602821016,1908.4459477954404,1902.0403904503519,1892.7637757419511,1875.627591511134,1856.9154702299086,1832.4745350526948,1815.40669723128,1810.3775139716768,1819.3028170470945,1830.5919261576194,1848.1130576092442,1876.6559071602915,1917.9164879886569,1958.7081742974754,1992.2142302276914,2013.818208527472,2021.963567900994,2020.8942146595416,2019.3172308706235,2019.200314549438,2028.8446470789363,2043.7208397411073,2067.660499809382,2094.9672718941324,2124.013906372998,2151.302347919674,2161.895027250295,2158.938802345255,2137.8815530740303,2114.8756862007363,2097.740877274532,2095.2254290745927,2105.174451019249,2121.302738350581,2137.9036741113646,2156.3012627841217,2171.327196029401,2186.538999721961,2196.1248956913546,2201.572215802307,2198.1579089256797,2190.0768504959274,2181.1230830056656,2182.2289372083874,2196.8302705064584,2218.7662223537845,2239.444592158739
394974,7,"Philadelphia, PA",msa,PA,1290.8586249541204,1297.0472864717658,1310.9218258821322,1316.9642073558623,1323.4401533329428,1326.7598085731065,1330.8946745143637,1331.2528715635804,1325.8146693113115,1320.827480023198,1320.1801293601038,1314.822823373287,1317.4281316970948,1326.9713929907966,1341.7411360697738,1354.9971589626925,1364.11168840869,1369.0708457985422,1365.0168305774216,1364.5533187347037,1364.9090307726449,1360.322355768218,1361.162591649286,1359.8046053525054,1367.1790446442901,1368.0425052599358,1377.239374044435,1384.8313238819235,1391.1569288719788,1393.7581023299742,1394.1901126674334,1392.7200149136668,1388.6597601519222,1384.1215744097017,1380.8156159630585,1384.3750052170865,1391.0878224572054,1401.7249600161692,1411.5338183636297,1419.1536118302365,1425.5732016229201,1430.8327842684034,1434.5822279312192,1434.5786787346817,1430.2454637837259,1428.962474098363,1432.0221781230591,1431.9426118360457,1436.5610773414523,1443.8929609372951,1460.3645559666538,1471.3989124056611,1476.5380376399917,1483.756454828756,1488.4447110604356,1490.2908543011672,1484.310679915826,1481.1914827974888,1480.1905715013236,1483.0034412392454,1484.5025624285345,1493.552607203134,1503.3050026824899,1506.4677517977948,1502.441019083127,1499.6683939012346,1501.2199108235625,1498.3637700116617,1493.9751618130858,1493.8951677433658,1494.7567499875456,1494.6093239933898,1491.271682393251,1494.8134476244854,1506.054144421625,1527.2262146691276,1551.3489746607827,1573.6143297963654,1593.2264932659134,1611.4944636977186,1625.2586233313045,1634.7764308563121,1640.6910815280105,1652.9095951778447,1662.5872306548717,1676.458050039771,1684.6557645530859,1698.1704438371094,1711.3546079617638,1726.4498942487191,1738.2319065152205,1741.9647873417189,1742.5595924977697,1734.812565391658,1729.6144469272772,1723.6083032165027,1726.7232494202533,1726.3214022893628,1734.1778299138466,1741.3610379805257,1754.4576054530378,1757.4274229996072,1764.2483316251887,1771.2963018577466,1780.7178922872374,1780.4012705301373,1776.2717689469382,1769.831784967985,1770.4658525397188,1778.621494664097,1790.2664818547025,1800.2492076549468
394856,8,"Miami, FL",msa,FL,1412.2045805844925,1424.174847338365,1435.8238079134694,1441.8483490896879,1445.369931527335,1446.2853176571648,1458.074759642923,1472.013330096122,1488.0891506584087,1493.191448844526,1497.7942609940148,1492.1059903341463,1501.5547949158472,1507.638753275982,1525.7010489735694,1532.213671342512,1536.2409337062586,1531.0116354038144,1531.6870421663366,1537.674266458545,1548.0526307966948,1547.7975287275315,1552.8395027330491,1547.5791758284947,1559.009730665314,1558.880529572726,1570.7293780432253,1573.146162404678,1575.4205361630372,1577.7650281223487,1579.4583258568077,1585.2023755644675,1589.301921259656,1595.3981471019927,1598.9132191121805,1604.2136782577727,1604.7682418500365,1609.3132467629873,1611.061554577507,1616.2732070899112,1619.3775615175214,1630.1225533641264,1636.6300471276106,1641.2981303297138,1641.2859867773136,1648.9825705831652,1660.7932026378667,1666.1645027066993,1670.1388385600758,1669.4648257850795,1673.3695080460816,1672.1890898473484,1677.1917510770747,1683.2135043860835,1690.488530979187,1690.8349595403638,1694.8947733857703,1704.7983394858732,1720.8597563117864,1734.7004632434355,1741.5396675152883,1742.981726716071,1743.5217119789027,1732.99464177013,1723.952473759544,1713.6741486371886,1714.9959799141743,1715.8394290017357,1716.1086887989825,1726.009830839038,1740.1364844062432,1755.7797007843549,1770.8895138108846,1787.9212725353314,1813.1698539010656,1840.995570367247,1885.6408629446933,1944.2077732566368,2016.604492155703,2087.0551198640997,2144.64599616273,2191.025561573041,2230.537923839967,2271.045005396536,2304.483112729513,2335.0708482268274,2367.9886249945853,2398.7934250416365,2429.371169625671,2452.4114541931485,2474.4739733430133,2476.987903893346,2478.964493848044,2478.7343673041614,2481.959057705509,2487.5108399898068,2487.6504930713018,2498.5353371361325,2503.346977961265,2511.5442116597023,2517.467028312267,2523.5807494885134,2531.0155908293186,2532.6266244497488,2532.395920656864,2540.347396892359,2543.0104830965197,2544.131014780978,2540.8867363439663,2553.039978328212,2560.6182817235963,2572.719515533655
394347,9,"Atlanta, GA",msa,GA,1032.6179288387364,1038.4642937476901,1036.077205769902,1056.2535027581146,1060.6151316159855,1076.8153465654007,1082.5659117819257,1082.3022159403336,1075.8309871520576,1075.384944282303,1090.8434909825676,1105.0083675748658,1112.1872929827846,1115.7094010470532,1130.703205911279,1141.594661563607,1150.9205241685834,1151.1172968079106,1161.540926666322,1161.6063202881342,1164.8319865359895,1150.3079975182004,1154.0184910141654,1163.2428690694987,1186.9250499859215,1205.1181581623794,1212.7681503850595,1229.33527786782,1239.5779506221127,1251.4041713407034,1252.5852676769177,1253.7039424086388,1257.629415353706,1258.0793004074105,1254.6081494122354,1255.1832314127576,1261.7737358400775,1274.5187053942552,1282.481672717738,1294.93641010055,1307.8648891496139,1317.6614697047721,1323.4496774362992,1326.9327137163386,1329.6286855172584,1337.2533945444632,1338.420801775836,1339.5750227381516,1343.3800510479134,1353.6851019287838,1367.0466991362114,1374.0494334270861,1378.5265370098928,1385.251282156038,1390.855672332193,1398.0119860780699,1396.9430187910605,1394.0523737513872,1384.891038963031,1382.6698038300533,1385.1768126092838,1395.922438991233,1398.4314349572273,1389.6908607498965,1377.9147872276717,1378.1423135394123,1391.891434710257,1403.1325413443246,1408.914993843233,1410.287438009299,1413.1558997390816,1417.30189856705,1424.5229438037316,1435.0516828773864,1450.0457126804506,1472.2007330193094,1506.1950635906692,1553.398051669825,1607.2518981414662,1659.7373855391802,1694.7263807297384,1714.6812754208988,1718.9109678179016,1717.8113086847716,1717.1688549988367,1721.461969875722,1732.1132604451361,1745.1099805934457,1764.4117703366032,1786.7929448113855,1810.6254926139193,1817.3760523695375,1815.4703626389846,1794.0666010995594,1775.5651186295893,1755.9296052436152,1750.266373011158,1752.1275870483325,1762.055360017949,1769.353848673041,1775.7933182242216,1775.4150102132164,1775.677248733159,1774.337869620579,1773.0444628890582,1764.245040289034,1750.3624132927453,1731.4965148687354,1725.5646505503169,1724.2309408567285,1730.0246441052777,1736.751692495428
