"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11","2023_12","2024_01","2024_02","2024_03","2024_04","2024_05","2024_06"
"United States","National","0",326569308,,,,0.0644295661617286,0.0649352848597513,0.0651458267728285,0.0652085333506668,0.0655077638763669,0.0657036683218202,0.0657876715190583,0.0666307152944445,0.0667809272028507,0.065920182379629,0.0652305140567761,0.0642720201956053,0.0641906498897443,0.0650145304652513,0.0655448868454332,0.0654954231860473,0.0649743558088756,0.064404425121969,0.0637425200312425,0.0626910394093976,0.0619753966263024,0.0613916108264666,0.0610610909756285,0.0615950568824497,0.0621615329192528,0.0627450004600196,0.0631733847592012,0.0631464633345622,0.0628839087703618,0.0623939342154862,0.0619861368709494,0.0614665439171435,0.0611911512722554,0.0611013087412312,0.0612436552130254,0.0617599220220356,0.0622516619730647,0.0627873095803947,0.0633482228317375,0.0649084648595475,0.0666989398277634,0.0679204178320639,0.0683773249187097,0.0675491882286931,0.0661757054391645,0.0649914739350883,0.0643036165749225,0.0639016293833321,0.0629338691756944,0.061560481970577,0.059479052944882,0.0558093898845839,0.0517579089859695,0.0473488491521047,0.0431504704128459,0.0401165563839494,0.0385189362751785,0.0382948221917394,0.0390440653467741,0.0404862649404874,0.0419494348991849,0.0434930655940132,0.0447519798330574,0.0456011976778644,0.0461797712141845,0.0465991137205506,0.0474219109111198,0.0488150912867971,0.0507615445559234,0.0526968315770567,0.0544451631035949,0.055936390847204,0.0569399483772106,0.057920322733302,0.0588073145107591,0.0595006094886068,0.0602658320302865,0.0608950660499641,0.0613447626777327,0.0620116867935853,0.0626124765634472,0.0632398775058455,0.0639080716743533,0.0644596207525938,0.0651358187062755,0.0658764598397817,0.0662400659315514,0.066646778107955,0.0668697021591719,0.0669693329315935
"California","State","06",39346023,"California",,,0.0473154356671018,0.049874717933771,0.0498336302092223,0.0494143467333757,0.0500824536543302,0.050156325703292,0.0505282759118704,0.0519161397181415,0.0529025919609542,0.0527343050980277,0.0530861488977207,0.053050834606119,0.0528474828208533,0.0527158082445483,0.0524909785955464,0.0521693406364552,0.0519295753575596,0.0524611667364592,0.0531454847675579,0.053241715899576,0.0532980997873139,0.0531496003746403,0.052628816403054,0.052680473679251,0.0526988911079774,0.0524795865879454,0.052912850451829,0.0532531095653241,0.0537690252254996,0.0543830741359595,0.0545556088172583,0.054342729975992,0.0543099727967552,0.0543204397702456,0.0541968629838649,0.0544056801156085,0.0541381862738858,0.0539031239178261,0.0541770685013861,0.0559855629259093,0.0584341232453878,0.0611490506126156,0.0634908864002633,0.0644456683879444,0.0642387862446074,0.0627506589656923,0.0609234496067219,0.0588515990643956,0.0568356600139463,0.0551927760797218,0.0533917271555686,0.0507026174758778,0.0475669884087668,0.0439467044087102,0.039887702798107,0.0363086654149754,0.0341576409050632,0.0335170937793037,0.0340340648977173,0.0352135970220001,0.0360030851361576,0.0364386651755617,0.0367636683625166,0.0368537055990306,0.0371751051642706,0.0375388345085087,0.038044804224738,0.0392249973802388,0.0408149710793311,0.0424638541162231,0.0442545892819144,0.0458050335259997,0.0466547799335288,0.0474071419335669,0.047825381526807,0.0480195031210106,0.0486054124738438,0.0489856382715794,0.0489144346718322,0.0489342974428924,0.0492862610134798,0.0500169657825184,0.0511749872747679,0.0520023821810202,0.0521654491334066,0.0519738957410761,0.0516243289429798,0.0517100336827466,0.0518265280759214,0.0519761047957017
"Texas","State","48",28635442,"Texas",,,0.0801263763158106,0.0808485676006734,0.0815014701022896,0.0818220605201781,0.0823005599174488,0.0824553360574215,0.0824909761281228,0.083377729663543,0.0820322050486877,0.0795744951539368,0.077301490031536,0.0748104016770014,0.0751706677523644,0.0764216603140573,0.0770801313971052,0.0771290320372036,0.0767518765523215,0.0766914482641421,0.0767640726653679,0.0765513868519714,0.076726345342353,0.0772134030706561,0.0778119663484208,0.0791257854625285,0.0802653357027309,0.0810914264078561,0.0815497571568423,0.0813254812042724,0.0807467601532531,0.0796691873986658,0.078653194900158,0.0776804114154425,0.0770348628605128,0.0768527210193847,0.0771341335446727,0.0777756882583396,0.0785064000051765,0.0794369270389716,0.0801805188343424,0.0816793663712075,0.0831087109834227,0.0837020769405079,0.0836856786270124,0.0829185570986238,0.0817593194921554,0.0810737438701131,0.0809752592173059,0.0811650291566425,0.0803129261430711,0.078561017251573,0.075483995985553,0.0701261854023635,0.0646698582160137,0.0589017636986041,0.0537746015735799,0.0501450619525565,0.0480479684398914,0.0474417938223159,0.0479485994651507,0.0491780665955646,0.0505912378045678,0.0524229993844661,0.0541037989748722,0.0556577712050907,0.0568450941755264,0.0576163614977728,0.0586430312150456,0.0600707061931577,0.0623044869434288,0.0645353230610907,0.066582937903103,0.0685024019891397,0.0696072052004633,0.0708457054555582,0.0722962277235799,0.0729194585736867,0.0738132103884212,0.0745736962471179,0.0749296616148516,0.075986347356427,0.0768228122035357,0.0776901786414848,0.0785138250406012,0.0793071525983534,0.0806823510719771,0.0818941467631074,0.0822481722319725,0.0825342823899401,0.0822800590734956,0.0822021324804004
"Florida","State","12",21216924,"Florida",,,0.0682023847682281,0.0679192518278455,0.06871730729214,0.0692308021746268,0.0707325631442925,0.0719117729866626,0.0716238344057647,0.0710015858701084,0.0689442366544795,0.0661303359114324,0.0633490568348596,0.0609183880910181,0.0595698235351799,0.0600137445068461,0.0612612922449596,0.0623707692685733,0.0629986758655541,0.0631070418700712,0.0627191232714771,0.0614741901712525,0.0605248802735808,0.0598655248793825,0.0591916139920549,0.0600181983887362,0.0608272003007324,0.0614795374416419,0.0624469818123503,0.0632745340718438,0.0640439199122191,0.0643668824766084,0.0645843075696236,0.0640746968174831,0.0638363245358349,0.0637665759895989,0.0641118217240648,0.0649979341344979,0.0653521860384487,0.0659608523722264,0.0667759626516085,0.0688863252461599,0.0710727128492312,0.0725518438626678,0.0724812174093302,0.0709938938343708,0.0691245994238723,0.0672108141067431,0.0659058121097438,0.064444003730561,0.0622567424681513,0.0592756015075882,0.0557529428082012,0.050553524409794,0.0447191353448703,0.0388923164853566,0.0336109831360548,0.0298983516740284,0.0284082188628466,0.0288514701922947,0.0303513833711799,0.0328101832875343,0.0353355230720845,0.0378879959725376,0.0403712574685144,0.0424547438925709,0.0443887863282676,0.0459711385062077,0.0475202478340301,0.0490163786847501,0.0504266844050903,0.0512706350204487,0.0516999128079668,0.0519828262909916,0.052276603802939,0.0534227470451666,0.0550558792303788,0.056905810558904,0.0589038768060513,0.0606330857293116,0.0617299358008775,0.0631298448208014,0.0640248149220025,0.0646536349176178,0.065542774795819,0.0658808648668836,0.0658716300264088,0.0660183921194191,0.0657943144365783,0.0662303030239304,0.0675312890465018,0.0689292768298013
"New York","State","36",19514849,"New York",,,0.0435404530805625,0.0527692447042479,0.0544152192362546,0.0550304404584573,0.0579099299467999,0.0573998991137339,0.0557934172847746,0.0544429687495088,0.0545855358129942,0.0512286107905676,0.0506456400838331,0.0504855809130665,0.0494839506359211,0.0506927933527601,0.0508430572889401,0.0505873410665539,0.0501880550163307,0.0495364306271938,0.048928356327027,0.0475386966323501,0.0460466150234735,0.0446951467461391,0.0439716084866276,0.044284866588138,0.0449614406428546,0.0455690514822072,0.0457950467137512,0.0451002902627751,0.0438910168835104,0.0433454737579273,0.04254216996485,0.0416935099362592,0.0409596416441587,0.0392592719694403,0.0381353302906163,0.0380842308758766,0.0379585859409831,0.0380295277874797,0.0376451030161028,0.0376797917696318,0.0409997004719165,0.0459678119488654,0.0509537227640137,0.0548510115196447,0.0552715270808415,0.0553575277854951,0.055085897687516,0.0549679264241243,0.0549789779622423,0.0539363799001389,0.0526435118420001,0.0500814298345458,0.0471597268460262,0.0431686683938275,0.0395286119318957,0.0369094414700249,0.0343335922866413,0.0327128061536142,0.0314608669392793,0.0307212364577175,0.0305126796780779,0.0307311948127332,0.0315470799933339,0.0324543235213604,0.032887737865303,0.0335715790211302,0.0350178753073064,0.0366193127865232,0.0392393290033195,0.0411580128863607,0.0425351303386554,0.0439363278577374,0.0452172748531952,0.0464871680580385,0.0462494825146649,0.0454794680703627,0.0439086701320684,0.0430534593374334,0.0429728944691062,0.0430268371730006,0.0436790876904845,0.0439419222919483,0.044093979650048,0.0445126351150033,0.0446243297561738,0.0450176481540894,0.0455804514290182,0.045946430092864,0.0473582313691924,0.0485745671727399
"New York-Newark-Jersey City, NY-NJ-PA","Metro","35620",19261570,"New York",,"New York-Newark-Jersey City, NY-NJ-PA",0.0430105300367738,0.0502511214546602,0.0516683232941133,0.0526031053440934,0.0564036108258439,0.0571938426491912,0.0567242264097821,0.0554597286289517,0.0534501656693965,0.051068946079732,0.0511816514762935,0.0523692816832934,0.0538616657059523,0.0548716547411664,0.055220989023432,0.055277214421792,0.0554807669664108,0.0555230714816416,0.0551525817913925,0.0534747432825052,0.0512036533873148,0.0490730800764888,0.047311464967102,0.0468085342916511,0.0466504197017645,0.047042103597198,0.047711390726208,0.0477129591725746,0.0478146319285065,0.0475070425220805,0.0465982743075561,0.0453514522692712,0.0437692111325904,0.0417131097190673,0.0399397198156952,0.0392851357610346,0.0386421160495511,0.038260149640541,0.0379540249555698,0.0385690581688547,0.0411398337735401,0.0457824621303572,0.0506031877220865,0.0542999855592336,0.0557591338668396,0.0556557966632214,0.0549305646292624,0.0540561586315267,0.0529056995308674,0.0515697794186176,0.0501351857582964,0.0476361960249351,0.0450642541542301,0.0416191072166273,0.0383191741170843,0.0356800152426291,0.0332457460844339,0.0315039002289347,0.0303348808192924,0.029275289656694,0.0286994987912936,0.0285404044730717,0.0283317588241802,0.0285117280929824,0.0288429676326539,0.0293019210818997,0.0305799676360599,0.0321195721140575,0.0339907066630311,0.0354044142195667,0.036324112633801,0.0371258980340648,0.0378689911279078,0.0383351813632991,0.0385278316923919,0.0389346586773781,0.0393563132425273,0.0405386099781851,0.0422107202425633,0.043001733393643,0.0434880491162856,0.0433894466676825,0.0426578155498563,0.0430043656200137,0.0428390745716303,0.0429984944791508,0.0432972862414249,0.0433163168830205,0.0445562076590769,0.0462532844339173
"Los Angeles-Long Beach-Anaheim, CA","Metro","31080",13211027,"California",,"Los Angeles-Long Beach-Anaheim, CA",0.0514052939410692,0.0546626890369442,0.0550192603402167,0.055106600154011,0.0567819112032387,0.0576119739102695,0.0579020525003099,0.0586181541700377,0.0587208812197249,0.0575836142648908,0.0578793685955784,0.0581937328044539,0.0580327160737963,0.0579974611147876,0.0580842319353293,0.0583224627272111,0.0592168849083713,0.0609442428216859,0.0619110154957849,0.0614987037413856,0.060692742079359,0.0594791936363294,0.058167598610381,0.0579947448261076,0.0579645259734774,0.0580108841233552,0.0592616273577136,0.0599380436376645,0.0611950092023587,0.0622551262195589,0.0621257984631266,0.0612779811833213,0.0600075287079713,0.058269844511868,0.0567144518565058,0.0566031752498215,0.0564301647456602,0.0575062283089704,0.0595667527145655,0.0631711075643402,0.0670187766407034,0.0701384426770685,0.072363951257242,0.0722958127724114,0.0708109085358904,0.0683304898854736,0.0655694324829518,0.0634417820034846,0.0619135117238528,0.0608897983401915,0.0597290084381634,0.0569876674364154,0.0533718773140652,0.0486532075939397,0.0430010286992433,0.0375228056789964,0.0337694269548212,0.0320696106875148,0.0319320252062533,0.0330713589081219,0.0340388088493119,0.0348339971975301,0.0359984449578269,0.0370998664887821,0.0383078867836267,0.0393219640844852,0.0398188828105906,0.0403180498761347,0.0410621351121047,0.0419505764439402,0.0434842812169711,0.0453143021810164,0.0466249008431557,0.0477816043900116,0.0484583600014757,0.0489950729576923,0.0498805606809494,0.0504933129785699,0.0504558748481331,0.0499205895132427,0.0492958321589955,0.0490067632802819,0.0495001965434034,0.0502159562794092,0.0508739112539677,0.0513866736579156,0.0516350345249083,0.0519732019381782,0.0521757103067167,0.0526380314023071
"Pennsylvania","State","42",12794885,"Pennsylvania",,,0.0519181582578215,0.049800243756162,0.049934840072113,0.0510312259491396,0.0527439960431488,0.0571562329286723,0.0605267557628525,0.0638466869103182,0.0664318757685301,0.0659588827935147,0.0656541647459273,0.064601470518385,0.0625804101052581,0.0618499251504682,0.0612777534599058,0.0608467304323292,0.0594823419101409,0.0579222340903612,0.055583653285461,0.052317403226336,0.0499280719178316,0.0485669540549395,0.0478409033025158,0.047692359493122,0.0481034393126017,0.047685480495494,0.0476512671170134,0.0483070315475318,0.0489311526829006,0.049437234731467,0.0498813689386513,0.0495047639235577,0.0498780915668253,0.0504075857921919,0.0518186079672498,0.0520077065522074,0.0517913697785641,0.0515108149823918,0.0508027494366217,0.0529101108949038,0.0566837959396181,0.0610087408045724,0.0646842152952244,0.0660504872699346,0.0650547253796393,0.0625898855601772,0.0599816096877644,0.0587601445049551,0.0582460552288785,0.0580065410871693,0.0572792852789715,0.054765809969473,0.0506423174670485,0.0463037827989083,0.0416779582698024,0.0376021959155984,0.0345216191245711,0.0327605265404827,0.0327059706655744,0.0338548462936024,0.0360521053927101,0.0383990573792314,0.0401400363077632,0.0413350245756414,0.0416847289288236,0.0416696203014238,0.0421092242449389,0.0431743251000903,0.0448860716242091,0.0468453811240091,0.0486129536099194,0.0498454183172636,0.0510231608623422,0.0517263246566806,0.0524591544067911,0.0535749664205279,0.0541356447345047,0.0549368938346134,0.0551289490653501,0.0543951705194747,0.0535692010109895,0.0529389430828599,0.0527196931343664,0.0536007747457169,0.0557655703716253,0.05773047082152,0.0594281783857397,0.0608538925099755,0.0610877919557842,0.0604793316559028
"Illinois","State","17",12716164,"Illinois",,,0.0525276146038381,0.0517367045350148,0.0510610918151504,0.0515574508348935,0.0521790991111746,0.0539308305223429,0.0573773871320232,0.0619598727416761,0.066407718735214,0.0696146771933032,0.0715870233287031,0.0718097084164801,0.071673125495393,0.072029104351964,0.072754752963863,0.071348986717676,0.0689947131218044,0.0669725863202358,0.0641686104328956,0.0635625370898241,0.0639804845893533,0.0638111830922967,0.0634748408968709,0.0632681359403865,0.0625855751010036,0.0615251022312993,0.0603376041445521,0.0582387154704579,0.0570647378148349,0.057350282952875,0.0584177898338048,0.0592690286847899,0.059971520491293,0.0595314867347882,0.0586896638987454,0.0587921875728794,0.0583448495242444,0.0580511206569396,0.0585651599765586,0.0600499623555863,0.0637292365610592,0.0685395419509334,0.0728700734819517,0.0757672693763682,0.0759593078182086,0.0753790036436826,0.0736204646153358,0.0719325594350567,0.0701375501742504,0.0673906196503793,0.0646812809168882,0.0606153047634023,0.057055892925102,0.0539427722793264,0.0511370968159611,0.0487903083863873,0.0464634451277599,0.0445524397600427,0.0432445528376295,0.0431117939322296,0.0435215508838388,0.0441608690583007,0.0448997382980273,0.0451913464943276,0.0450950363869936,0.0452033100707906,0.045707165839689,0.0464483432272395,0.0473798697483842,0.0478956288840031,0.0480724230727984,0.0484885762240358,0.048305810222686,0.0480799968936892,0.0477804378713122,0.047617186704959,0.0485864851883557,0.0500450507935007,0.0514761460169526,0.052697893733401,0.0532949294645006,0.0530484162770757,0.0522178553362612,0.0514730551729825,0.0506697043297852,0.0505647773655048,0.0510736709322124,0.0518474005378044,0.0530752717612546,0.0542188250883297
"Ohio","State","39",11675275,"Ohio",,,0.0912602215157401,0.0808049956339502,0.07647905198458,0.0733231471709865,0.0641305284475434,0.0592929463789632,0.0557857519319849,0.0564273854564858,0.0596963627759486,0.0607460541104256,0.0610766878042699,0.0583010127348681,0.0554398196257377,0.055899816143461,0.0551204488867596,0.0538867973665304,0.0515774530521059,0.048377225340729,0.0461996195522293,0.0444173612739092,0.043756028781325,0.0441657133339248,0.0446205782934734,0.0459344517756323,0.0470444666108041,0.047848113676347,0.0489660885075898,0.0487483833035389,0.0478732874542946,0.0466811654421351,0.0452845606962013,0.0441224164873404,0.0438928283053941,0.0442743867828509,0.0448649481103981,0.0461610157689,0.0473657571014515,0.0481756737133067,0.0486866923005262,0.049060428653609,0.0490883776299666,0.0485458373428057,0.0478263938551004,0.0472177044331256,0.0464964043965019,0.0463226462977674,0.0466587857800744,0.0468249299343614,0.046678752825936,0.0459549155880299,0.0444256928794309,0.0415216921528202,0.0383944360647483,0.0353395407104107,0.0329255462033057,0.0315383689486699,0.0311609898252795,0.0313775775770226,0.0315388913267489,0.0321166061067629,0.032347692981395,0.0330506862308917,0.0340147436868355,0.0345238365027298,0.0349950510596341,0.0347980816827288,0.0347728225806442,0.0360003699966522,0.0380273433765816,0.0404221228536878,0.0428272915168754,0.0444119486265721,0.0455660745900502,0.0465040893630829,0.0467813526496757,0.0467765865787482,0.0465459209632995,0.0470276980604698,0.0484775762756787,0.0503499374155292,0.0528998417197295,0.0552326243598043,0.0563267276054948,0.0569308668416202,0.0574495866493614,0.0579963099216832,0.0587793954288706,0.0589664022776376,0.0583861136788599,0.057626417758576
